Time,E1_D,E1_T,E1_V,E1_N,E2_D,E2_T,E2_V,E2_N,E3_D,E3_T,E3_V,E3_N,E4_D,E4_T,E4_V,E4_N,E5_D,E5_T,E5_V,E5_N,E6_D,E6_T,E6_V,E6_N,E7_D,E7_T,E7_V,E7_N,off_R1_D,off_R1_T,off_R1_V,off_R1_N,off_R2_D,off_R2_T,off_R2_V,off_R2_N,off_R3_D,off_R3_T,off_R3_V,off_R3_N,off_R4_D,off_R4_T,off_R4_V,off_R4_N,on_R1_D,on_R1_T,on_R1_V,on_R1_N,on_R2_D,on_R2_T,on_R2_V,on_R2_N,on_R3_D,on_R3_T,on_R3_V,on_R3_N,on_R4_D,on_R4_T,on_R4_V,on_R4_N,on_R5_D,on_R5_T,on_R5_V,on_R5_N,on_R6_D,on_R6_T,on_R6_V,on_R6_N
110000,0.2064215588203848,0.8100000000000013,0.2556693835127452,6.666666666666667,0.24398262985997865,0.42777777777777776,0.525097081653214,3.8333333333333335,0.2192213614218317,0.5627777777777777,0.37078080554598375,4.833333333333333,0.1279089173381417,0.22833333333333314,0.5396742112765526,2.6666666666666665,0.13826373402313638,0.3255555555555552,0.43486010647612017,3.1666666666666665,0.1018355876088217,0.17444444444444426,0.5589126869517224,1.8333333333333333,0.10872687544471171,0.3538888888888885,0.3458364689227031,3.3333333333333335,0.04055757070383503,0.41222222222222166,0.09971112621601413,3.0,0.020213094755743316,0.11555555555555552,0.15742889315004838,0.8333333333333334,0.06750004979022976,0.18833333333333316,0.38766734056938107,1.6666666666666667,0.0002654137697817,0.0011111111111111,0.03981206546725543,0.16666666666666666,0.11730039196605385,0.8350000000000014,0.1341221910975372,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024504684738728837,0.11722222222222217,0.21311070804237256,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120000,0.1876389252246774,0.8550000000000014,0.21343490497405013,6.666666666666667,0.2370019193994276,0.46055555555555544,0.45922285088409964,4.333333333333333,0.1815149005906338,0.5483333333333332,0.30704609636190616,4.666666666666667,0.11879178772676753,0.24277777777777754,0.42571009113437563,2.5,0.12373383091961467,0.3338888888888885,0.39665536167648013,3.1666666666666665,0.10088211766123305,0.14388888888888876,0.6355202680707036,1.5,0.11485112602567309,0.28333333333333305,0.453771622231409,3.0,0.035542175828623034,0.44666666666666616,0.08272594980346941,3.1666666666666665,0.020293947056540432,0.11555555555555552,0.15791400695483115,0.8333333333333334,0.061361561434036364,0.16055555555555542,0.40143205453861075,1.5,0.0,0.0,0.0,0.0,0.1144813103628745,0.8261111111111124,0.13039334824664958,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02645895908693127,0.1266666666666666,0.24759790242241564,1.0,0.0022488413536549336,0.013333333333333334,0.028110516920686866,0.16666666666666666,0.0,0.0,0.0,0.0
130000,0.14366554699569764,0.8144444444444456,0.18540448972429466,6.166666666666667,0.2541821886026096,0.4822222222222221,0.4622344605315798,4.5,0.2037940224306738,0.6055555555555555,0.30134177025287806,5.0,0.09070680871094716,0.21444444444444424,0.3479118078407075,2.3333333333333335,0.11330562725127497,0.37444444444444397,0.34185951288992483,3.3333333333333335,0.06536553316143683,0.09333333333333327,0.5929537266616111,1.1666666666666667,0.10788950473142683,0.26555555555555527,0.4463870619547983,2.5,0.03836663887709287,0.49888888888888844,0.08119557110364038,3.6666666666666665,0.016431221956153114,0.12277777777777772,0.12259060091348754,0.8333333333333334,0.0612891685268215,0.18222222222222206,0.372382111626516,1.5,0.0,0.0,0.0,0.0,0.1058360333322962,0.8072222222222235,0.11856690145463439,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023352512096717636,0.12055555555555549,0.16287662087113455,0.8333333333333334,0.005760496667822766,0.023888888888888887,0.08355770609175804,0.3333333333333333,0.0,0.0,0.0,0.0
140000,0.11558419806804164,0.7361111111111122,0.20071938808446568,5.333333333333333,0.2175893091505817,0.46555555555555533,0.4298572754947371,4.666666666666667,0.24521702420920102,0.6461111111111113,0.33656141297498166,5.166666666666667,0.09479815551787295,0.22555555555555537,0.3437915528713251,2.6666666666666665,0.09028757445744534,0.3922222222222218,0.2866106133457322,3.5,0.06653319903816711,0.10611111111111104,0.5407850087798621,0.8333333333333334,0.06896011155931495,0.212222222222222,0.3746584967091529,2.0,0.03893094076950035,0.5305555555555552,0.07640701828783852,3.8333333333333335,0.02550749629561185,0.17388888888888876,0.15218714767259214,1.3333333333333333,0.07181433691545923,0.23388888888888867,0.319532223383086,1.6666666666666667,0.0,0.0,0.0,0.0,0.09749497157118515,0.7683333333333343,0.11204532622320135,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006842791943415552,0.09277777777777774,0.06381829995132197,0.6666666666666666,0.005760496667822766,0.023888888888888887,0.08355770609175804,0.3333333333333333,0.0,0.0,0.0,0.0
150000,0.10095330973534733,0.5972222222222232,0.18316232208523253,4.5,0.24629141381258332,0.538888888888889,0.40564486074882655,4.833333333333333,0.19040578778079573,0.5366666666666665,0.3740416151130767,4.5,0.13867845273505555,0.29833333333333306,0.33982863940935265,2.8333333333333335,0.12807316590030401,0.46666666666666634,0.2990715204202657,4.333333333333333,0.06356004502539551,0.14166666666666652,0.4581720822033318,1.3333333333333333,0.05574550370817455,0.18055555555555539,0.3627640016678066,1.5,0.050489634634230916,0.5549999999999998,0.08985862225372275,4.0,0.04259058402295812,0.2433333333333331,0.14641818085093342,1.6666666666666667,0.07572080643645844,0.24666666666666645,0.31494918622196955,1.8333333333333333,0.0,0.0,0.0,0.0,0.06793918252861092,0.7127777777777783,0.08248953718062717,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003614575082860186,0.06499999999999997,0.04444899878798967,0.5,0.005760496667822766,0.023888888888888887,0.08355770609175804,0.3333333333333333,0.0,0.0,0.0,0.0
160000,0.12014014322952882,0.48166666666666735,0.3202111327579575,3.8333333333333335,0.24233508285776414,0.5311111111111112,0.3981300465580669,5.166666666666667,0.21773853582608038,0.531111111111111,0.4235499188428602,4.5,0.10678041887878635,0.25722222222222196,0.3334837914951456,2.6666666666666665,0.17221319150349754,0.546111111111111,0.29112712303385874,4.666666666666667,0.125207049496848,0.2488888888888888,0.5539964414853823,2.3333333333333335,0.05635986407419757,0.17499999999999985,0.37072931410855303,1.5,0.0549981478805871,0.5605555555555554,0.09963338826196733,3.8333333333333335,0.05689125901215738,0.2972222222222219,0.14388530883408632,2.0,0.06462134951749167,0.2205555555555554,0.30315336191656145,1.8333333333333333,0.0,0.0,0.0,0.0,0.033820331605272654,0.6555555555555559,0.04892296726289568,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003614575082860186,0.037222222222222205,0.04444899878798967,0.3333333333333333,0.005760496667822766,0.023888888888888887,0.08355770609175804,0.3333333333333333,0.0,0.0,0.0,0.0
170000,0.13189014479252523,0.3677777777777782,0.3985444765112669,3.1666666666666665,0.26178011434489384,0.5311111111111112,0.45646514101945623,5.166666666666667,0.2433316543332462,0.48722222222222217,0.5317424197024635,4.5,0.13583280853559093,0.2761111111111108,0.42851297966609986,3.1666666666666665,0.16633641259461093,0.5166666666666666,0.333505061428341,4.833333333333333,0.1948178702082736,0.3744444444444446,0.49341321707194963,3.3333333333333335,0.09169348245951425,0.23222222222222202,0.38386194139207813,2.0,0.05946645821851875,0.5355555555555555,0.11472333438217776,3.6666666666666665,0.06894724246627476,0.32944444444444404,0.16363209851493724,2.3333333333333335,0.05674397359048961,0.20666666666666653,0.2888529522915587,1.6666666666666667,0.0,0.0,0.0,0.0,0.025498279221238835,0.6527777777777781,0.03932949707089778,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001954274348202436,0.009444444444444434,0.034487194380043086,0.16666666666666666,0.005760496667822766,0.023888888888888887,0.08355770609175804,0.3333333333333333,0.0,0.0,0.0,0.0
180000,0.09732030469483448,0.23666666666666678,0.36729669842536566,2.0,0.24367266775448926,0.4866666666666668,0.440931964621013,4.833333333333333,0.2601484620469719,0.43055555555555564,0.6445816042610826,4.333333333333333,0.15117513951382125,0.2755555555555553,0.5224456183083265,3.5,0.20249215555397446,0.5144444444444444,0.4178965855308423,5.166666666666667,0.2455337865217074,0.44333333333333336,0.49611010476653816,4.0,0.1373272876656696,0.31777777777777755,0.36287730300797855,2.8333333333333335,0.06202182728742189,0.5127777777777776,0.12259130995107305,3.6666666666666665,0.07833558603403601,0.35722222222222183,0.19155457231582962,2.5,0.05550988089060228,0.20666666666666647,0.28144839609223465,1.6666666666666667,0.0,0.0,0.0,0.0,0.041673993543036914,0.6711111111111115,0.061065825083461756,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003511655314167833,0.010555555555555549,0.055447189171071165,0.16666666666666666,0.0,0.0,0.0,0.0
190000,0.047972201542134156,0.13666666666666658,0.3029296073566262,1.1666666666666667,0.18439703551777334,0.4227777777777781,0.36685820387650847,3.8333333333333335,0.22621345899304443,0.35222222222222216,0.6407367233219546,3.6666666666666665,0.16514727682955446,0.2688888888888886,0.6398391982952208,3.3333333333333335,0.22735139493784995,0.4972222222222222,0.48931492936597537,5.166666666666667,0.27627075264040857,0.4705555555555556,0.5701392182110766,4.333333333333333,0.1954859775213024,0.4072222222222221,0.4104033329076852,3.6666666666666665,0.08141178027244116,0.5705555555555557,0.13888003935919188,3.8333333333333335,0.08046672672261285,0.38722222222222175,0.19766325365894497,2.6666666666666665,0.0541970968099246,0.19388888888888878,0.28496530406841236,1.5,0.0,0.0,0.0,0.0,0.04657928675829381,0.6172222222222227,0.10150845874512009,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000,0.03369118669746706,0.1355555555555555,0.2306249962792645,1.0,0.11952727911193543,0.32277777777777783,0.28481515256499285,2.8333333333333335,0.15338349089233225,0.2644444444444443,0.5358706969203443,2.8333333333333335,0.13656667416818521,0.20888888888888868,0.6738347653893829,2.6666666666666665,0.24079620010418612,0.4455555555555555,0.564391231921073,4.833333333333333,0.28644139157241844,0.48055555555555557,0.5967506080989144,4.5,0.22543204037880393,0.44111111111111095,0.4849544063369806,4.166666666666667,0.0863745862727308,0.5944444444444448,0.14272378282250806,4.333333333333333,0.07643514176830114,0.3822222222222218,0.1863005239545887,2.5,0.052191728143641584,0.17166666666666655,0.29969153706832946,1.5,0.0,0.0,0.0,0.0,0.04344346786480282,0.5333333333333338,0.12387539818483,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162911434637215,0.006111111111111099,0.04443039126469505,0.16666666666666666,0.0,0.0,0.0,0.0
