===> epoch: 26, train_loss: 0.4763306565397148, val_loss_q: 1.3843433690655642, val_loss_k: 17.52213895207633, test_loss_q: 1.3736759984757578, test_loss_k: 15.41246549076009, test_mape_q: 8.410966520932634, test_mape_k: 31.15122502902264
===> epoch: 27, train_loss: 0.47521102022698963, val_loss_q: 1.3837598336707813, val_loss_k: 17.520428395513072, test_loss_q: 1.372401435870339, test_loss_k: 15.351960854871477, test_mape_q: 8.392788312363889, test_mape_k: 31.023887152848566
===> epoch: 28, train_loss: 0.47412032157087003, val_loss_q: 1.3829185466788567, val_loss_k: 17.5199845936265, test_loss_q: 1.3713356573501767, test_loss_k: 15.298223886036675, test_mape_q: 8.379970522487099, test_mape_k: 30.9077594945032
===> epoch: 29, train_loss: 0.47298450899048644, val_loss_q: 1.3822573924820907, val_loss_k: 17.52030330823324, test_loss_q: 1.3702984639805078, test_loss_k: 15.241990006136787, test_mape_q: 8.367779261327401, test_mape_k: 30.796373124630392
===> epoch: 30, train_loss: 0.471919712967592, val_loss_q: 1.3819121757460593, val_loss_k: 17.52110676689888, test_loss_q: 1.3694126799079025, test_loss_k: 15.177091588808992, test_mape_q: 8.359873859239189, test_mape_k: 30.660656269703075
===> epoch: 31, train_loss: 0.4708359730483745, val_loss_q: 1.3817888802636211, val_loss_k: 17.52371828083486, test_loss_q: 1.3688353253356478, test_loss_k: 15.128762517660931, test_mape_q: 8.350640098967899, test_mape_k: 30.556519481908385
===> epoch: 32, train_loss: 0.46982557175037587, val_loss_q: 1.3820803848992982, val_loss_k: 17.52652112396115, test_loss_q: 1.36847079506278, test_loss_k: 15.071888910647687, test_mape_q: 8.342458244906481, test_mape_k: 30.440693288199633
===> epoch: 33, train_loss: 0.4688283539650756, val_loss_q: 1.3819694854907185, val_loss_k: 17.528352002943073, test_loss_q: 1.3681124710287418, test_loss_k: 15.02339871820155, test_mape_q: 8.346628079445912, test_mape_k: 30.34614809635554
===> epoch: 34, train_loss: 0.46781215022834116, val_loss_q: 1.3825364027354645, val_loss_k: 17.533107789428097, test_loss_q: 1.3679635904998462, test_loss_k: 14.969186876108969, test_mape_q: 8.346523193529524, test_mape_k: 30.22371744246633
===> epoch: 35, train_loss: 0.4668546752853385, val_loss_q: 1.3826710694240778, val_loss_k: 17.539127224042144, test_loss_q: 1.3676737675588768, test_loss_k: 14.92060203138343, test_mape_q: 8.355112352108225, test_mape_k: 30.115290308088184
===> epoch: 36, train_loss: 0.46594831216102817, val_loss_q: 1.3824366238967147, val_loss_k: 17.54820428072949, test_loss_q: 1.3671794187659032, test_loss_k: 14.876218222760226, test_mape_q: 8.369248780411171, test_mape_k: 30.010433467288834
===> epoch: 37, train_loss: 0.4650976838223518, val_loss_q: 1.3831413004466093, val_loss_k: 17.550329963283417, test_loss_q: 1.366959756921906, test_loss_k: 14.821773405977908, test_mape_q: 8.373826736435934, test_mape_k: 29.894916252323434
===> epoch: 38, train_loss: 0.464313519985426, val_loss_q: 1.3834443469684778, val_loss_k: 17.551962256661984, test_loss_q: 1.366967722587551, test_loss_k: 14.800196630429602, test_mape_q: 8.387242604661667, test_mape_k: 29.84943391243913
===> epoch: 39, train_loss: 0.463439525213803, val_loss_q: 1.3835879210018796, val_loss_k: 17.564182926710174, test_loss_q: 1.367365440060356, test_loss_k: 14.801283291723324, test_mape_q: 8.397869968899874, test_mape_k: 29.818341553968704
===> epoch: 40, train_loss: 0.4626146059990218, val_loss_q: 1.3830917736054662, val_loss_k: 17.565378359783896, test_loss_q: 1.3659965958571043, test_loss_k: 14.700891742254242, test_mape_q: 8.420548855958657, test_mape_k: 29.62183082134179
===> epoch: 41, train_loss: 0.46187379937850037, val_loss_q: 1.3834577316468697, val_loss_k: 17.574425845188742, test_loss_q: 1.3660305776680897, test_loss_k: 14.668800446426344, test_mape_q: 8.430651116035328, test_mape_k: 29.573285634588142
===> epoch: 42, train_loss: 0.46104296035758857, val_loss_q: 1.3831242017200203, val_loss_k: 17.576588626290096, test_loss_q: 1.3656296714681668, test_loss_k: 14.637490250692776, test_mape_q: 8.450319179311169, test_mape_k: 29.502315337623337
