Time,E1_D1,E1_T1,E1_D2,E1_T2,E1_D3,E1_T3,E1_D4,E1_T4,E1_D5,E1_T5,E1_D6,E1_T6,E2_D1,E2_T1,E2_D2,E2_T2,E2_D3,E2_T3,E2_D4,E2_T4,E2_D5,E2_T5,E2_D6,E2_T6,E3_D1,E3_T1,E3_D2,E3_T2,E3_D3,E3_T3,E3_D4,E3_T4,E3_D5,E3_T5,E3_D6,E3_T6,E4_D1,E4_T1,E4_D2,E4_T2,E4_D3,E4_T3,E4_D4,E4_T4,E4_D5,E4_T5,E4_D6,E4_T6,E5_D1,E5_T1,E5_D2,E5_T2,E5_D3,E5_T3,E5_D4,E5_T4,E5_D5,E5_T5,E5_D6,E5_T6,E6_D1,E6_T1,E6_D2,E6_T2,E6_D3,E6_T3,E6_D4,E6_T4,E6_D5,E6_T5,E6_D6,E6_T6,E7_D1,E7_T1,E7_D2,E7_T2,E7_D3,E7_T3,E7_D4,E7_T4,E7_D5,E7_T5,E7_D6,E7_T6,off_R1_D1,off_R1_T1,off_R1_D2,off_R1_T2,off_R1_D3,off_R1_T3,off_R1_D4,off_R1_T4,off_R1_D5,off_R1_T5,off_R1_D6,off_R1_T6,off_R2_D1,off_R2_T1,off_R2_D2,off_R2_T2,off_R2_D3,off_R2_T3,off_R2_D4,off_R2_T4,off_R2_D5,off_R2_T5,off_R2_D6,off_R2_T6,off_R3_D1,off_R3_T1,off_R3_D2,off_R3_T2,off_R3_D3,off_R3_T3,off_R3_D4,off_R3_T4,off_R3_D5,off_R3_T5,off_R3_D6,off_R3_T6,off_R4_D1,off_R4_T1,off_R4_D2,off_R4_T2,off_R4_D3,off_R4_T3,off_R4_D4,off_R4_T4,off_R4_D5,off_R4_T5,off_R4_D6,off_R4_T6,on_R1_D1,on_R1_T1,on_R1_D2,on_R1_T2,on_R1_D3,on_R1_T3,on_R1_D4,on_R1_T4,on_R1_D5,on_R1_T5,on_R1_D6,on_R1_T6,on_R2_D1,on_R2_T1,on_R2_D2,on_R2_T2,on_R2_D3,on_R2_T3,on_R2_D4,on_R2_T4,on_R2_D5,on_R2_T5,on_R2_D6,on_R2_T6,on_R3_D1,on_R3_T1,on_R3_D2,on_R3_T2,on_R3_D3,on_R3_T3,on_R3_D4,on_R3_T4,on_R3_D5,on_R3_T5,on_R3_D6,on_R3_T6,on_R4_D1,on_R4_T1,on_R4_D2,on_R4_T2,on_R4_D3,on_R4_T3,on_R4_D4,on_R4_T4,on_R4_D5,on_R4_T5,on_R4_D6,on_R4_T6,on_R5_D1,on_R5_T1,on_R5_D2,on_R5_T2,on_R5_D3,on_R5_T3,on_R5_D4,on_R5_T4,on_R5_D5,on_R5_T5,on_R5_D6,on_R5_T6,on_R6_D1,on_R6_T1,on_R6_D2,on_R6_T2,on_R6_D3,on_R6_T3,on_R6_D4,on_R6_T4,on_R6_D5,on_R6_T5,on_R6_D6,on_R6_T6
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116896189064732,0.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0731350815777511,0.1133333333333332,0.0679143313517224,0.0933333333333332,0.0341717609124028,0.0466666666666666,0.0585705239340845,0.0866666666666666,0.0378330979771657,0.0533333333333333,0.0,0.0,0.0478891245868501,0.1033333333333332,0.0345606145938107,0.0566666666666666,0.0843994224782765,0.1433333333333332,0.0215222261533419,0.0366666666666666,0.0,0.0,0.0,0.0,0.0792704999585695,0.1166666666666665,0.0737764473897198,0.1133333333333332,0.0179438701805813,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0063159214854423,0.01,0.0784024482209242,0.2199999999999997,0.0963058202226451,0.253333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0691788906613985,0.1666666666666665,0.0814366087588102,0.1866666666666664,0.0473645239085625,0.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031833354452493,0.1599999999999998,0.0073614731771494,0.1433333333333332,0.0199997340107987,0.0466666666666666,0.0270023766066873,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189609405760889,0.0533333333333333,0.0186402481578583,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001473191087614,0.0799999999999999,0.0,0.0799999999999999,0.0,0.0,0.0,0.0,0.0033877381810891,0.0033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002820450111076,0.0799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01387913329416715,0.02666666666666665,0.00500920564468165,0.0083333333333333,0.0058448094532366,0.0083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.055962574489362996,0.08499999999999991,0.05101443373966805,0.07833333333333325,0.0460055321788176,0.0749999999999999,0.0328925764104716,0.0483333333333333,0.01891654898858285,0.02666666666666665,0.0,0.0,0.04740626579493485,0.10166666666666654,0.061951862951812146,0.11499999999999985,0.08185803054884991,0.13666666666666655,0.01920446288772175,0.0316666666666666,0.0,0.0,0.0,0.0,0.09191136524315624,0.14333333333333315,0.06537279857563905,0.09833333333333324,0.01528914491000365,0.0233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0468477862374772,0.0766666666666666,0.07765563755338145,0.2249999999999997,0.0724823628488033,0.16833333333333317,0.0,0.0,0.0,0.0,0.0,0.0,0.0938845767157066,0.21166666666666645,0.0970007354358372,0.2283333333333331,0.0451457302550435,0.1649999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018193670613278548,0.1499999999999998,0.0130392695600361,0.1749999999999998,0.017905116720496002,0.0483333333333333,0.01350118830334365,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00948047028804445,0.02666666666666665,0.00932012407892915,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00814597722571895,0.08333333333333326,0.0,0.08333333333333326,0.0,0.0,0.0,0.0,0.00169386909054455,0.00166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003861724511319,0.08333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009252755529444767,0.017777777777777767,0.010176452564905932,0.015555555555555533,0.013389276049714365,0.016666666666666632,0.0,0.0,0.0,0.0,0.0,0.0,0.047823804861649465,0.07222222222222213,0.0360955341240971,0.07999999999999993,0.0306703547858784,0.04999999999999993,0.021928384273647735,0.0322222222222222,0.017472498305620865,0.0233333333333333,0.0,0.0,0.0364227766444942,0.1388888888888887,0.057586464951896066,0.12888888888888872,0.06264750924880606,0.10666666666666656,0.015300413931777902,0.025555555555555498,0.0,0.0,0.0,0.0,0.0810648319752549,0.13888888888888873,0.05845989082419029,0.08777777777777769,0.014225261597492366,0.019999999999999966,0.0,0.0,0.0,0.0,0.0,0.0,0.08525062104966703,0.13888888888888876,0.0804571842763455,0.2188888888888886,0.05838170254264186,0.12555555555555545,0.0,0.0,0.0,0.0,0.0,0.0,0.10522574705293293,0.24555555555555544,0.0899041461190176,0.22222222222222196,0.031143656377039867,0.1155555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020977965847550798,0.12999999999999984,0.015530028084537033,0.1699999999999998,0.011936744480330668,0.0322222222222222,0.0090007922022291,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006320313525362967,0.017777777777777767,0.006213416052619433,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004440152946193,0.014444444444444433,0.0093688168601779,0.0677777777777777,0.0053595488405131,0.10777777777777768,0.0,0.0,0.0,0.0,0.0011292460603630333,0.0011111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008286476856412332,0.08222222222222214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,0.0,0.0,0.0,0.000244588896113125,0.01416666666666665,0.0,0.0,0.0,0.0,0.006939566647083575,0.013333333333333326,0.00763233942367945,0.01166666666666665,0.010041957037285776,0.012499999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0358678536462371,0.0541666666666666,0.027416258854445798,0.0816666666666666,0.025576323686897377,0.0466666666666666,0.023797148678909825,0.0358333333333333,0.013793070975165325,0.018333333333333302,0.0,0.0,0.029341188566373126,0.19083333333333324,0.046155233948672325,0.12249999999999985,0.05241203089699978,0.09749999999999989,0.011475310448833426,0.019166666666666624,0.0,0.0,0.0,0.0,0.061021838322204446,0.12583333333333319,0.04640793345826717,0.08749999999999993,0.010668946198119275,0.014999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0896524112902233,0.1433333333333332,0.08548789826170917,0.23333333333333306,0.054274922538735476,0.11416666666666656,0.0,0.0,0.0,0.0,0.0,0.0,0.10368539355418903,0.2641666666666666,0.07924202972000872,0.19499999999999978,0.033157148350663426,0.1033333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020424782197655148,0.12999999999999984,0.016254162748522774,0.1441666666666665,0.008952558360248001,0.02416666666666665,0.006750594151671825,0.0125,0.0,0.0,0.0,0.0,0.0045999127031042,0.01666666666666665,0.0,0.0,0.004740235144022225,0.013333333333333326,0.004660062039464575,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000955549600027125,0.0075,0.007255768833799924,0.024999999999999974,0.009722770033533374,0.05833333333333328,0.009167817600454774,0.11666666666666656,0.0,0.0,0.0,0.0,0.000846934545272275,0.000833333333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004561940564398725,0.015833333333333324,0.0016410340974386999,0.06749999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0001956711168905,0.0273333333333333,0.0,0.0,0.0,0.0,0.00555165331766686,0.010666666666666661,0.0061058715389435605,0.00933333333333332,0.008033565629828621,0.00999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.028694282916989677,0.04333333333333328,0.0270162217312021,0.07533333333333328,0.020792915755913,0.053333333333333253,0.019847035195261282,0.03066666666666664,0.014494796555430539,0.021333333333333298,0.0,0.0,0.0234729508530985,0.21666666666666662,0.0386948162055008,0.12999999999999984,0.041929624717599825,0.07799999999999992,0.01409587697336474,0.021333333333333298,0.0,0.0,0.0,0.0,0.048817470657763554,0.11666666666666654,0.040628334760010695,0.09599999999999992,0.00853515695849542,0.01199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.07419001623935184,0.11933333333333322,0.07780737223378911,0.2353333333333331,0.04544475132955808,0.11799999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.09313519644951126,0.2579999999999999,0.0742761812348193,0.2053333333333331,0.02652571868053074,0.08266666666666656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016339825758124118,0.13599999999999984,0.01300333019881822,0.1153333333333332,0.007162046688198401,0.01933333333333332,0.00540047532133746,0.01,0.0,0.0,0.0,0.0,0.00425444028377202,0.015333333333333319,0.00317105723802776,0.01399999999999998,0.0037921881152177804,0.010666666666666661,0.00372804963157166,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007644396800217,0.02199999999999998,0.008253357982490139,0.025999999999999978,0.015318370933389818,0.0706666666666666,0.0076232637618768,0.09533333333333324,0.0,0.0,0.0,0.0,0.0046459457903686,0.013333333333333319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056901668266268,0.018666666666666658,0.00131282727795096,0.05399999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000,0.0,0.0,0.0,0.0,0.0003063123760428,0.00055555555555555,0.00418512253064235,0.04499999999999995,0.0,0.0,0.0,0.0,0.004626377764722384,0.008888888888888884,0.005088226282452967,0.007777777777777766,0.006694638024857184,0.008333333333333316,0.0,0.0,0.0,0.0,0.0,0.0,0.023911902430824732,0.036111111111111066,0.022513518109335082,0.06277777777777772,0.01755527100264525,0.05944444444444436,0.023315042972375247,0.0444444444444444,0.016133759997145985,0.026111111111111085,0.0,0.0,0.019560792377582084,0.2383333333333333,0.032387233879748935,0.13722222222222205,0.034941353931333186,0.06499999999999993,0.011746564144470617,0.03222222222222218,0.0,0.0,0.0,0.0,0.04354355421349995,0.1244444444444443,0.03448585257512278,0.09611111111111104,0.007112630798746183,0.009999999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.061825013532793203,0.09944444444444435,0.0665410242392102,0.21444444444444422,0.03936063811313113,0.15222222222222215,0.0,0.0,0.0,0.0,0.0,0.0,0.0849209049596031,0.27277777777777773,0.061896817695682754,0.19999999999999973,0.022104765567108952,0.06888888888888879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013616521465103433,0.14222222222222206,0.010836108499015182,0.096111111111111,0.005968372240165334,0.0161111111111111,0.00450039610111455,0.008333333333333333,0.0,0.0,0.0,0.0,0.00354536690314335,0.012777777777777765,0.004645037155565033,0.026111111111111085,0.0031601567626814834,0.008888888888888884,0.0031067080263097167,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063703306668475,0.032777777777777746,0.012154975388001218,0.045555555555555516,0.014654980797920799,0.06388888888888883,0.0071358485122906,0.08888888888888881,0.0,0.0,0.0,0.0,0.007400833601110133,0.017777777777777767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004741805688855667,0.01555555555555555,0.0010940227316258,0.04499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026287856919785836,0.012222222222222218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000,0.0,0.0,0.0038710907249982166,0.006111111111111099,0.009409525059355783,0.015555555555555533,0.015785455540204284,0.07555555555555547,0.0,0.0,0.0,0.0,0.004626377764722384,0.008888888888888884,0.005088226282452967,0.007777777777777766,0.00474636820711165,0.00555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.011722722167866217,0.017222222222222198,0.011194462884048018,0.0472222222222222,0.013889126256246968,0.0799999999999999,0.01853829989423105,0.045555555555555495,0.012438334468209902,0.0233333333333333,0.0,0.0,0.011579271613107067,0.27,0.02662713144744715,0.152222222222222,0.0208747835182871,0.041111111111111064,0.008159526452246968,0.026111111111111085,0.0,0.0,0.0,0.0,0.031612916773484115,0.12555555555555542,0.02218977801016948,0.08944444444444438,0.0041219857686492995,0.004999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.06077235995188615,0.09777777777777769,0.05348937249369145,0.1899999999999998,0.02330966807602362,0.15888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.07549452483245406,0.29388888888888887,0.048324049569214385,0.19333333333333313,0.014210678249015202,0.04111111111111105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013085965557561882,0.13999999999999982,0.009609196302823616,0.07222222222222213,0.00263508323836555,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.00354536690314335,0.012777777777777765,0.004645037155565033,0.026111111111111085,0.0014211916697174502,0.006111111111111099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063703306668475,0.044999999999999964,0.012579514799303132,0.06999999999999994,0.014630427613127233,0.05055555555555552,0.010485771066338733,0.08777777777777769,0.0,0.0,0.0,0.0,0.0068362105709286166,0.01722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004741805688855667,0.01555555555555555,0.0010470152297745333,0.031666666666666635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005039199553939217,0.019444444444444434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000,0.00699800126817695,0.010555555555555549,0.018087726370699917,0.029999999999999968,0.01910706758738848,0.03222222222222218,0.018975298058068902,0.09555555555555545,0.0,0.0,0.0,0.0,0.0,0.0,0.003822773589252567,0.00555555555555555,0.007960054808423767,0.009999999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0052577109343704,0.007777777777777766,0.0055087068627790664,0.036666666666666646,0.00960497302754425,0.11111111111111101,0.019357166451480966,0.05222222222222216,0.012438334468209902,0.0233333333333333,0.0,0.0,0.0037587037792704663,0.31111111111111117,0.01173661289581155,0.15222222222222204,0.007655343748383216,0.019444444444444417,0.005345076515230034,0.02166666666666665,0.0,0.0,0.0,0.0,0.014195725474864798,0.11166666666666654,0.012694919716576434,0.08999999999999993,0.0020162491620783,0.0022222222222222166,0.0,0.0,0.0,0.0,0.0,0.0,0.04620908478696747,0.07388888888888882,0.040671234679384986,0.16611111111111096,0.015199850496863369,0.2027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.05598564201857842,0.29944444444444446,0.0295917346003816,0.18666666666666643,0.007056188815427783,0.013888888888888867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075519645940105825,0.14555555555555538,0.0064896853123364824,0.03777777777777774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00354536690314335,0.012777777777777765,0.005111375445056983,0.02777777777777775,0.003701392829858334,0.01777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063703306668475,0.059444444444444404,0.012579514799303132,0.09888888888888879,0.015812424597251632,0.046666666666666634,0.011732946283445617,0.07722222222222215,0.0,0.0,0.0,0.0,0.0068362105709286166,0.01722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004741805688855667,0.01555555555555555,0.0009652985812485,0.0172222222222222,0.0,0.0,0.0,0.0,0.0019010577166239,0.003888888888888883,0.0017525998769338665,0.004444444444444433,0.006316637690487784,0.028333333333333318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45000,0.020661260231895868,0.0333333333333333,0.0219458260206515,0.036111111111111066,0.02444127090476203,0.041111111111111064,0.023328969687333983,0.11111111111111098,0.0,0.0,0.0,0.0,0.002775169512027,0.006111111111111099,0.0071118164554641004,0.010555555555555549,0.01097269794446025,0.016666666666666653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015128872124206398,0.046666666666666634,0.01937286715049163,0.14166666666666652,0.019357166451480966,0.05222222222222216,0.010007601644927084,0.020555555555555532,0.0,0.0,0.011764236655512133,0.33222222222222236,0.0036566215178586996,0.1477777777777776,0.00361759930693015,0.01166666666666665,0.004096357178581667,0.019444444444444434,0.0,0.0,0.0,0.0,0.0071266219927635975,0.10333333333333322,0.006250844903347466,0.09388888888888881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019199703007959684,0.029999999999999968,0.026327855059006058,0.14499999999999988,0.0101697868418102,0.24944444444444447,0.0,0.0,0.0,0.0,0.0,0.0,0.03468269396916184,0.2872222222222221,0.016973240019485202,0.1916666666666664,0.006532937378589017,0.0111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003127538541328033,0.15722222222222204,0.0030710944567466664,0.0111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004825133265841617,0.015555555555555533,0.009794896967780685,0.0394444444444444,0.003701392829858334,0.01777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063703306668475,0.07277777777777772,0.012527901084433149,0.12888888888888872,0.0147009064248781,0.0433333333333333,0.009053171863189066,0.05111111111111107,0.0,0.0,0.0,0.0,0.0068362105709286166,0.01722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004741805688855667,0.01555555555555555,0.0006796988888051833,0.003888888888888883,0.0,0.0,0.004203875845990717,0.007222222222222217,0.005192933021052184,0.009999999999999983,0.0017525998769338665,0.004444444444444433,0.0096555604726537,0.04166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000,0.0261330707697231,0.041111111111111064,0.030076945507113817,0.04777777777777772,0.03367844256089598,0.054999999999999945,0.032063925696598154,0.11555555555555543,0.0,0.0,0.0,0.0,0.01897120531605302,0.029444444444444398,0.02072928177995235,0.029999999999999968,0.014427251432480684,0.02166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.012364108266536916,0.029444444444444398,0.023866203871891433,0.05222222222222218,0.01861943009830335,0.13944444444444432,0.01445659280236495,0.0444444444444444,0.009548470147627301,0.01999999999999998,0.0,0.0,0.01836752636365248,0.2966666666666668,0.003366674461746167,0.14499999999999982,0.0,0.0,0.0051996225431494006,0.021111111111111098,0.0,0.0,0.0,0.0,0.01792502346871733,0.11388888888888876,0.0218112103930858,0.12388888888888878,0.0016339883144527,0.008888888888888884,0.0,0.0,0.0,0.0,0.0,0.0,0.002056739339311,0.003888888888888883,0.009564515022706025,0.11333333333333323,0.0031773564206408166,0.293888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.018171971792835626,0.2772222222222221,0.00909729326565485,0.21611111111111084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16444444444444425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006842508596914499,0.0016666666666666668,0.005430912785785217,0.01777777777777775,0.009794896967780685,0.0394444444444444,0.0079544707615703,0.03222222222222218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08222222222222215,0.010049633364353267,0.16277777777777758,0.012903468165944799,0.038333333333333296,0.005621067883142432,0.0272222222222222,0.0,0.0,0.0,0.0,0.0068362105709286166,0.01722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017005119792565168,0.005,0.0033850966840912166,0.006111111111111099,0.004974736138542183,0.007777777777777766,0.004567226952374367,0.007777777777777766,0.005192933021052184,0.009999999999999983,0.0017525998769338665,0.004444444444444433,0.010241239689137767,0.04222222222222219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
