Time,E1_D1,E1_T1,E1_D2,E1_T2,E1_D3,E1_T3,E1_D4,E1_T4,E1_D5,E1_T5,E1_D6,E1_T6,E1_D7,E1_T7,E1_D8,E1_T8,E2_D1,E2_T1,E2_D2,E2_T2,E2_D3,E2_T3,E2_D4,E2_T4,E2_D5,E2_T5,E2_D6,E2_T6,E2_D7,E2_T7,E2_D8,E2_T8,E3_D1,E3_T1,E3_D2,E3_T2,E3_D3,E3_T3,E3_D4,E3_T4,E3_D5,E3_T5,E3_D6,E3_T6,E3_D7,E3_T7,E3_D8,E3_T8,E4_D1,E4_T1,E4_D2,E4_T2,E4_D3,E4_T3,E4_D4,E4_T4,E4_D5,E4_T5,E4_D6,E4_T6,E4_D7,E4_T7,E4_D8,E4_T8,E5_D1,E5_T1,E5_D2,E5_T2,E5_D3,E5_T3,E5_D4,E5_T4,E5_D5,E5_T5,E5_D6,E5_T6,E5_D7,E5_T7,E5_D8,E5_T8,E6_D1,E6_T1,E6_D2,E6_T2,E6_D3,E6_T3,E6_D4,E6_T4,E6_D5,E6_T5,E6_D6,E6_T6,E6_D7,E6_T7,E6_D8,E6_T8,E7_D1,E7_T1,E7_D2,E7_T2,E7_D3,E7_T3,E7_D4,E7_T4,E7_D5,E7_T5,E7_D6,E7_T6,E7_D7,E7_T7,E7_D8,E7_T8,off_R1_D1,off_R1_T1,off_R1_D2,off_R1_T2,off_R1_D3,off_R1_T3,off_R1_D4,off_R1_T4,off_R1_D5,off_R1_T5,off_R1_D6,off_R1_T6,off_R1_D7,off_R1_T7,off_R1_D8,off_R1_T8,off_R2_D1,off_R2_T1,off_R2_D2,off_R2_T2,off_R2_D3,off_R2_T3,off_R2_D4,off_R2_T4,off_R2_D5,off_R2_T5,off_R2_D6,off_R2_T6,off_R2_D7,off_R2_T7,off_R2_D8,off_R2_T8,off_R3_D1,off_R3_T1,off_R3_D2,off_R3_T2,off_R3_D3,off_R3_T3,off_R3_D4,off_R3_T4,off_R3_D5,off_R3_T5,off_R3_D6,off_R3_T6,off_R3_D7,off_R3_T7,off_R3_D8,off_R3_T8,off_R4_D1,off_R4_T1,off_R4_D2,off_R4_T2,off_R4_D3,off_R4_T3,off_R4_D4,off_R4_T4,off_R4_D5,off_R4_T5,off_R4_D6,off_R4_T6,off_R4_D7,off_R4_T7,off_R4_D8,off_R4_T8,on_R1_D1,on_R1_T1,on_R1_D2,on_R1_T2,on_R1_D3,on_R1_T3,on_R1_D4,on_R1_T4,on_R1_D5,on_R1_T5,on_R1_D6,on_R1_T6,on_R1_D7,on_R1_T7,on_R1_D8,on_R1_T8,on_R2_D1,on_R2_T1,on_R2_D2,on_R2_T2,on_R2_D3,on_R2_T3,on_R2_D4,on_R2_T4,on_R2_D5,on_R2_T5,on_R2_D6,on_R2_T6,on_R2_D7,on_R2_T7,on_R2_D8,on_R2_T8,on_R3_D1,on_R3_T1,on_R3_D2,on_R3_T2,on_R3_D3,on_R3_T3,on_R3_D4,on_R3_T4,on_R3_D5,on_R3_T5,on_R3_D6,on_R3_T6,on_R3_D7,on_R3_T7,on_R3_D8,on_R3_T8,on_R4_D1,on_R4_T1,on_R4_D2,on_R4_T2,on_R4_D3,on_R4_T3,on_R4_D4,on_R4_T4,on_R4_D5,on_R4_T5,on_R4_D6,on_R4_T6,on_R4_D7,on_R4_T7,on_R4_D8,on_R4_T8,on_R5_D1,on_R5_T1,on_R5_D2,on_R5_T2,on_R5_D3,on_R5_T3,on_R5_D4,on_R5_T4,on_R5_D5,on_R5_T5,on_R5_D6,on_R5_T6,on_R5_D7,on_R5_T7,on_R5_D8,on_R5_T8,on_R6_D1,on_R6_T1,on_R6_D2,on_R6_T2,on_R6_D3,on_R6_T3,on_R6_D4,on_R6_T4,on_R6_D5,on_R6_T5,on_R6_D6,on_R6_T6,on_R6_D7,on_R6_T7,on_R6_D8,on_R6_T8
25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02875994314184146,0.07666666666666665,0.05141090725151264,0.09666666666666661,0.008989259388465173,0.013333333333333334,0,0,0,0,0.04772274615104316,0.1666666666666665,0.022561987848514143,0.09666666666666661,0.03835810516975993,0.27999999999999986,0.008964973245042062,0.07333333333333332,0.009767998316096965,0.05,0,0,0,0,0,0,0.053256465833340844,0.2766666666666665,0.0467388015712362,0.16999999999999982,0.09654262353720745,0.2833333333333332,0.01902632650696578,0.1199999999999999,0,0,0,0,0,0,0,0,0.025741469390387614,0.05,0.019573059393657662,0.12333333333333323,0.015729849180181266,0.10333333333333326,0.03380439987602474,0.28666666666666657,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.08666666666666663,0.0,0.08666666666666663,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.004276886706404535,0.08666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013534084990135297,0.17666666666666647,0.017351050985309407,0.07666666666666665,0.0,0.08666666666666663,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001629131141371908,0.0033333333333333335,0.021810000738678025,0.04666666666666667,0.014228415579640767,0.030000000000000002,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053929062625223765,0.01,0.04059980093339052,0.06999999999999999,0.08106109252663582,0.1666666666666665,0.08618255607807163,0.1433333333333332,0.06002516317704329,0.09333333333333328,0.0021672086223394255,0.0033333333333333335,0,0,0,0,0.019407521144181438,0.10333333333333326,0.02804153798271717,0.12666666666666657,0.01297476908154243,0.16999999999999982,0.015403039091506445,0.07999999999999997,0.0,0.0,0,0,0,0,0,0,0.030527964692743704,0.18999999999999978,0.06136072455958759,0.2833333333333332,0.025283405627491616,0.08999999999999996,0.02128784472154615,0.13333333333333322,0,0,0,0,0,0,0,0,0.04357581176254816,0.06999999999999999,0.06684139049066443,0.17666666666666647,0.06273382192787637,0.10999999999999992,0.09642098403764736,0.28666666666666657,0.004941235975179497,0.013333333333333334,0,0,0,0,0,0,0.0,0.0,0.0,0.07999999999999997,0.0016702490028993344,0.0833333333333333,0.03904103032011816,0.0833333333333333,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.016310737214733913,0.06333333333333334,0.003452629580603828,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000356046349996608,0.1666666666666665,0.0018548124317414557,0.01,0.009814095916211497,0.14999999999999986,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0008351187071756849,0.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011822919291637679,0.0033333333333333335,0.01925036091225258,0.04666666666666667,0.019652066686475796,0.04,0.02200923963400706,0.04,0.01807238056725707,0.03333333333333333,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06555595892730136,0.12333333333333323,0.069020358923482,0.16333333333333316,0.038643931285889555,0.08666666666666663,0.003013140416123912,0.0033333333333333335,0.025305380100543128,0.030000000000000002,0.0053471607558808094,0.006666666666666667,0,0,0,0,0.036513154445260466,0.1433333333333332,0.012223316824744302,0.08666666666666663,0.010671508139438927,0.1666666666666665,0.0026842588152619796,0.01,0.035383776340040446,0.07999999999999997,0,0,0,0,0,0,0.07148606313427829,0.3966666666666673,0.0184546889542505,0.09999999999999994,0.023776792977247763,0.08666666666666663,0.009733944318701363,0.06333333333333334,0,0,0,0,0,0,0,0,0.08728069598818537,0.1199999999999999,0.0752376192539741,0.21333333333333307,0.05132175225624898,0.09666666666666661,0.061437699984473265,0.1666666666666665,0.007778655064752664,0.02,0,0,0,0,0,0,0.01813828787669272,0.03333333333333333,0.038466389273079674,0.13999999999999987,0.05375879825514434,0.17333333333333314,0.032641842642655995,0.06999999999999999,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.003483923169459517,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020825556786970503,0.15333333333333318,0.0,0.0,0.0002821519975351738,0.15999999999999984,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0030376057740026966,0.03666666666666667,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.015692851994488357,0.07333333333333332,0.01625691417693419,0.043333333333333335,0.020777790919636913,0.03666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03462500521904025,0.11666666666666657,0.04104875304463931,0.10333333333333326,0.037412416972829446,0.05333333333333334,0.03801193259022888,0.05,0.016003190262876166,0.023333333333333334,0.0,0.0,0,0,0,0,0.0009156959586447851,0.0033333333333333335,0.0020743632325736045,0.07999999999999997,0.012713505243200512,0.18999999999999978,0.05247931557156129,0.19666666666666643,0.03423804888681845,0.09999999999999994,0,0,0,0,0,0,0.038773717235315884,0.34666666666666696,0.06331236188960969,0.22666666666666638,0.03252341310696653,0.1433333333333332,0.0,0.0,0,0,0,0,0,0,0,0,0.041354669952051004,0.09999999999999994,0.0433254565402159,0.15333333333333318,0.0814604466626832,0.13999999999999987,0.0652070541256294,0.1199999999999999,0.0072312865437357925,0.013333333333333334,0,0,0,0,0,0,0.06907965741905364,0.15999999999999984,0.049903172589186404,0.1666666666666665,0.04296891194112858,0.17333333333333314,0.04556176934189222,0.09333333333333328,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004813393299494075,0.030000000000000002,0.0018507828688504346,0.13666666666666655,0.0,0.0,0.0,0.15999999999999984,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0019784167791110125,0.030000000000000002,0.010419265936940132,0.13333333333333322,0.0006616569719048566,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053797655311820236,0.11666666666666657,0.017699391067290248,0.030000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.014324783758862012,0.11666666666666657,0.029504957543593464,0.31000000000000005,0.024980535191961962,0.16999999999999982,0.0175143377057435,0.043333333333333335,0,0,0,0,0,0,0.037980334255320075,0.4533333333333343,0.03495425947760054,0.17333333333333314,0.027381331846946265,0.06666666666666667,0.018997703254470852,0.043333333333333335,0,0,0,0,0,0,0,0,0.06096312370873735,0.1433333333333332,0.053763955283574534,0.19666666666666643,0.004731538471195753,0.01,0.024322476528249756,0.05,0.003430088879366722,0.006666666666666667,0,0,0,0,0,0,0.0975816931984176,0.23999999999999969,0.0986110410595808,0.27333333333333315,0.07160876371065025,0.20666666666666642,0.039781155340263545,0.07333333333333332,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023957127740718908,0.13333333333333322,0.01527234023828138,0.07999999999999997,0.0,0.08666666666666663,0.0,0.0,0.0,0.17333333333333314,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.001175736514007743,0.07999999999999997,0.0038223648021503765,0.08666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.004839919955203346,0.05,0.03002220234680993,0.2566666666666664,0.025099456019990106,0.2299999999999997,0.020461343737961893,0.1299999999999999,0.01586612837812525,0.08666666666666663,0,0,0,0,0,0,0.025955763829997498,0.39000000000000057,0.01544023371259871,0.11333333333333324,0.020129629141564548,0.04666666666666667,0.009626396271832056,0.02,0,0,0,0,0,0,0,0,0.012683239131078376,0.0833333333333333,0.02239729005719641,0.08999999999999996,0.0810094084195998,0.19666666666666643,0.04536694856513279,0.08999999999999996,0.00379477131718278,0.006666666666666667,0,0,0,0,0,0,0.13613737229569597,0.31000000000000005,0.08485691016068952,0.15333333333333318,0.04947528966815427,0.1933333333333331,0.0019109099116860686,0.0033333333333333335,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027534407580887012,0.09333333333333328,0.017221303656201132,0.06666666666666667,0.007289386008506084,0.08666666666666663,0.0,0.07999999999999997,0.0,0.0,0.0,0.15999999999999984,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.08666666666666663,0.0002820442069824009,0.07999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009985706643211353,0.016666666666666666,0.005984909968061142,0.01,0,0,0,0,0.02007534311386217,0.13999999999999987,0.04381839972359833,0.24999999999999967,0.03265940832615028,0.25999999999999973,0.012928483023386915,0.09333333333333328,0.0004001918567757097,0.0033333333333333335,0,0,0,0,0,0,0.0,0.34666666666666696,0.01704066957666378,0.12333333333333323,0.018250123001856793,0.04,0.009701028116862877,0.02,0,0,0,0,0,0,0,0,0.06896883815086557,0.18333333333333313,0.041657246245301684,0.08999999999999996,0.0307767121669484,0.11666666666666657,0.029492504869353918,0.05666666666666667,0.0028704254122074017,0.006666666666666667,0,0,0,0,0,0,0.03549541521727424,0.12666666666666657,0.06619390033110112,0.1433333333333332,0.050445212377563234,0.17333333333333314,0.03535290643196302,0.06999999999999999,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012610075497601434,0.030000000000000002,0.04098979114999896,0.10999999999999992,0.010655452437692324,0.03333333333333333,0.0,0.0,0.0,0.07999999999999997,0.005280289608773246,0.12666666666666657,0.005945390489565055,0.030000000000000002,0.006791849851772703,0.1433333333333332,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07999999999999997,0.0,0.08666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.016782624034598886,0.03666666666666667,0.01833718517655394,0.03333333333333333,0.009931131135052526,0.016666666666666666,0.0,0.0,0,0,0,0,0.059149265014240726,0.31000000000000005,0.01424347419738898,0.09999999999999994,0.011422945861022488,0.18333333333333313,0.010053727322113957,0.06999999999999999,0.0,0.0,0,0,0,0,0,0,0.0,0.3200000000000001,0.015357061157744845,0.11333333333333324,0.02129325291660472,0.05666666666666667,0.007556067498266393,0.016666666666666666,0,0,0,0,0,0,0,0,0.046038680088890054,0.09999999999999994,0.052211966697528193,0.13333333333333322,0.05988906444152803,0.1299999999999999,0.0419235129482626,0.09999999999999994,0.0,0.0,0,0,0,0,0,0,0.04474650336134146,0.0833333333333333,0.04568630359291193,0.1299999999999999,0.02693160029588583,0.14999999999999986,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0031387802805951538,0.01,0.031251757266582636,0.0833333333333333,0.02693514015721294,0.06333333333333334,0.0013888621358524719,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.08666666666666663,0.0055960417292302955,0.1666666666666665,0.008693035239260584,0.07999999999999997,0.012664531055125808,0.07666666666666665,0.0007962150606755934,0.0033333333333333335,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.08666666666666663,0.0,0.07999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002329607335725672,0.0033333333333333335,0.021816808969167968,0.060000000000000005,0.004142507558012978,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.018520710031248677,0.14999999999999986,0.01878975626980646,0.15333333333333318,0.01158634012204603,0.15333333333333318,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.06282201735426444,0.4100000000000007,0.03371885109008766,0.14666666666666653,0.012262875628918112,0.07333333333333332,0.0,0.0,0,0,0,0,0,0,0,0,0.03821606621928442,0.07333333333333332,0.045305509515914257,0.09666666666666661,0.03075173430749006,0.0833333333333333,0.032668998061623634,0.07666666666666665,0.0062592443066749595,0.013333333333333334,0,0,0,0,0,0,0.028548381611059714,0.0833333333333333,0.021792774576551,0.04,0.04326716530529793,0.16999999999999982,0.04020097177314171,0.08666666666666663,0,0,0,0,0,0,0,0,0.0,0.0,0.010790654765209915,0.023333333333333334,0.005757408442885203,0.016666666666666666,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0016841639684456958,0.01,0.02936184029075522,0.1199999999999999,0.008139255065307527,0.030000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025225833038531906,0.09666666666666661,0.0031473507130985586,0.1299999999999999,0.000416512038386272,0.07999999999999997,0.0,0.0,0.015352399847236716,0.06333333333333334,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006680200197160464,0.016666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07999999999999997,0.0,0.07999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01078580894921746,0.07999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.07999999999999997,0.0038603523254198383,0.17666666666666647,0.005934720649871057,0.1433333333333332,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.02490434701631531,0.35333333333333367,0.06057955630786316,0.23666666666666636,0.04054467734797282,0.09333333333333328,0.010420296077689,0.013333333333333334,0,0,0,0,0,0,0,0,0.015400352184626478,0.030000000000000002,0.019143556014198263,0.04,0.021669963319492804,0.06666666666666667,0.04507315529842292,0.11666666666666657,0.002044798292044187,0.006666666666666667,0,0,0,0,0,0,0.03006012591722697,0.08666666666666663,0.03648011952783024,0.08999999999999996,0.01951790425868436,0.1433333333333332,0.0009613021456481054,0.0033333333333333335,0,0,0,0,0,0,0,0,0.00805933712358179,0.03666666666666667,0.011532378370413385,0.04666666666666667,0.006632008328849645,0.023333333333333334,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.014858792841467627,0.07999999999999997,0.0017101765275545613,0.07999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013436011577081314,0.15999999999999984,0.004494303623745796,0.10999999999999992,0.004521166317757679,0.05,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004789643021902341,0.02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07999999999999997,0.0,0.07999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
