Time,E1_D,E1_T,E1_V,E2_D,E2_T,E2_V,E3_D,E3_T,E3_V,E4_D,E4_T,E4_V,E5_D,E5_T,E5_V,E6_D,E6_T,E6_V,E7_D,E7_T,E7_V,off_R1_D,off_R1_T,off_R1_V,off_R2_D,off_R2_T,off_R2_V,off_R3_D,off_R3_T,off_R3_V,off_R4_D,off_R4_T,off_R4_V,on_R1_D,on_R1_T,on_R1_V,on_R2_D,on_R2_T,on_R2_V,on_R3_D,on_R3_T,on_R3_V,on_R4_D,on_R4_T,on_R4_V,on_R5_D,on_R5_T,on_R5_V,on_R6_D,on_R6_T,on_R6_V
30000,0,0,0,0,0,0,0.3645888373818223,0.6733333333333338,0.5414685703690426,0.20320267803040373,1.1466666666666676,0.17721163781721241,0.35402415705011897,1.5466666666666637,0.22889492912723253,0.369362022034167,1.2200000000000002,0.3027557557657106,0.040711279323017484,0.41999999999999954,0.09693161743575603,0.0,0.0,0.0,0.024040253501742274,0.1666666666666666,0.1442415210104537,0.030729414182272503,0.6666666666666671,0.04609412127340873,0.0008351187071756849,0.02,0.041755935358784246,0,0,0,0,0,0,0.0,0.0,0.0,0.11783388718884695,0.24333333333333312,0.48424885146101526,0.0,0.0,0.0,0.0,0.0,0.0
40000,0,0,0,0,0,0,0.3739872284988348,0.760000000000001,0.4920884585510978,0.19989694345754486,1.0566666666666682,0.1891769180986226,0.25806098161637003,1.3633333333333324,0.18928678358168963,0.5216353363719495,1.1433333333333342,0.45624081898421204,0.35051882933883366,1.0100000000000022,0.3470483458800326,0.0,0.0,0.0,0.003483923169459517,0.01,0.3483923169459517,0.007154583733749389,0.6400000000000002,0.011179037083983417,0.0030376057740026966,0.03666666666666667,0.08284379383643718,0,0,0,0,0,0,0.0,0.0,0.0,0.06578689677901546,0.3199999999999997,0.20558405243442351,0.0,0.0,0.0,0.0,0.0,0.0
50000,0,0,0,0,0,0,0.07149704637911049,0.14666666666666664,0.4874798616757534,0.18261366463825143,1.393333333333332,0.1310624387355873,0.19046565179033054,1.306666666666666,0.1457645294313755,0.3124628403613141,0.873333333333335,0.3577818782763132,0.5799631353451379,1.4533333333333316,0.3990572032191321,0.0,0.0,0.0,0.06871283897780704,0.29333333333333306,0.2342483146970697,0.022561726246787473,0.6666666666666671,0.03384258937018119,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.00528014552314052,0.333333333333333,0.015840436569421575,0.0,0.0,0.0,0.0,0.0,0.0
60000,0,0,0,0,0,0,0.061021556957477845,0.11333333333333334,0.538425502565981,0.20475123843853962,1.4099999999999984,0.14521364428265238,0.08919820226799942,1.0366666666666686,0.0860432819305459,0.3738289510208861,0.9166666666666685,0.4078134011136931,0.30485184160804085,0.8766666666666684,0.3477397432791334,0.0,0.0,0.0,0.1269698589255359,0.333333333333333,0.3809095767766081,0.04576735303440328,0.7933333333333346,0.05768994079966792,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70000,0,0,0,0,0,0,0.039074732812124084,0.1533333333333333,0.2548352139921137,0.058691879398392065,0.8566666666666682,0.06851192147672212,0.2452526208231104,1.326666666666666,0.18486378454003305,0.25653337751977195,0.6033333333333333,0.42519344340293697,0.22082874511544012,0.7033333333333339,0.3139745191214786,0.04277178703093994,0.14666666666666664,0.29162582066549964,0.05575422869353062,0.3199999999999997,0.17423196466728336,0.03058867595984902,0.6900000000000006,0.04433141443456376,0.011469843219062805,0.03666666666666667,0.31281390597444014,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3199999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80000,0,0,0,0,0,0,0.005945328654461523,0.043333333333333335,0.13719989202603514,0.009513863449410036,0.8800000000000018,0.010811208465238656,0.07423824021054283,1.4099999999999984,0.05265123419187441,0.1500164791006627,0.333333333333333,0.4500494373019886,0.2323049092337285,0.8200000000000013,0.28329866979722945,0.05024545232973954,0.303333333333333,0.16564434833980085,0.053799889278178414,0.24999999999999978,0.21519955711271385,0.016341504678371366,0.6666666666666671,0.024512257017557035,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0705172711155749,0.4566666666666661,0.15441738200490873,0.0,0.0,0.0,0.0,0.0,0.0
90000,0,0,0,0,0,0,0.02408495732178422,0.08,0.30106196652230277,0.01991171840140043,0.8333333333333348,0.023894062081680472,0.07525515190513621,1.5366666666666637,0.04897298388620587,0.016666142694577717,0.1666666666666666,0.09999685616746634,0.13022013990836223,0.8333333333333348,0.1562641678900344,0.016278911785996667,0.333333333333333,0.04883673535799005,7.948733159278981e-05,0.1666666666666666,0.00047692398955673904,0.05306676447034564,0.6666666666666671,0.0796001467055184,0.07351973426388124,0.05,1.4703946852776246,0,0,0,0,0,0,0.0,0.0,0.0,0.09401906366607246,0.46333333333333276,0.20291884244476097,0.022390559880466548,0.09333333333333334,0.23989885586214157,0.01387391329472043,0.05666666666666667,0.24483376402447815
100000,0,0,0,0,0,0,0.06954865309982358,0.30666666666666637,0.22678908619507712,0.01168420183186683,0.8333333333333348,0.014021042198240172,0.019541957163351317,1.6633333333333291,0.011748671641293408,0.006061168578296689,0.16999999999999993,0.035653932813509946,0.0650995337933577,0.8333333333333348,0.0781194405520291,0.016016261434357942,0.18333333333333324,0.08736142600558883,0.0,0.1666666666666666,0.0,0.07320790214059968,0.7900000000000011,0.09266823055772097,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0765947046711844,0.39666666666666617,0.19309589412903655,0.007805539382857111,0.043333333333333335,0.18012783191208717,0.0,0.0,0.0
110000,0,0,0,0,0,0,0.23150263450928132,0.506666666666666,0.4569130944262137,0.05084082821212863,0.6800000000000005,0.07476592384136559,0.14574571270716744,1.636666666666663,0.08905033362963408,0.06131549200451178,0.3499999999999996,0.175187120012891,0.002733436955963857,0.8333333333333348,0.003280124347156622,0.03599963985281223,0.2166666666666665,0.16615218393605657,0.027131437279564706,0.2733333333333331,0.09926135590084657,0.06635978041675954,0.8333333333333348,0.07963173650011131,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.02967527138890948,0.49999999999999933,0.05935054277781904,0.0,0.0,0.0,0.0,0.0,0.0
120000,0,0,0,0,0,0,0.5605844154788044,1.0866666666666682,0.5158752289682242,0.11778958569223208,0.6266666666666667,0.1879621048280299,0.29316941589601514,1.4299999999999982,0.2050135775496612,0.3594821902674714,0.7366666666666675,0.48798487366625026,0.016383276360571217,0.8333333333333348,0.019659931632685427,0.04730231138189395,0.2866666666666664,0.16500806296009532,0.17216627368203957,0.38333333333333286,0.44912940960532116,0.05599598287315258,0.6833333333333339,0.08194534078997931,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.036257164776160804,0.6233333333333334,0.05816657450720984,0.006379703345223393,0.023333333333333334,0.2734158576524311,0.0,0.0,0.0
130000,0,0,0,0,0,0,0.27865937726568185,0.5833333333333331,0.4777017895983119,0.4177091837117519,0.9733333333333353,0.42915327093673056,0.2865825487254412,1.1933333333333342,0.24015297379226896,0.40607530067701114,0.6233333333333334,0.6514577016208735,0.22261459479984075,1.0866666666666682,0.20486005656427034,0.057762155700187424,0.28333333333333305,0.20386643188301465,0.21208743630250113,0.5666666666666664,0.3742719464161786,0.05131795563696828,0.6133333333333334,0.08367057984288306,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.046722600061841146,0.6066666666666667,0.07701527482721068,0.0061763144089121425,0.023333333333333334,0.2646991889533775,0.0,0.0,0.0
140000,0,0,0,0,0,0,0.12868371771183393,0.3199999999999997,0.40213661784948146,0.2379214829287217,0.8200000000000013,0.2901481499130748,0.3641484139179077,1.423333333333332,0.25584197699150446,0.2967567468868093,0.5699999999999998,0.5206258717312445,0.27863629453769917,1.1266666666666678,0.24731032059559072,0.005597147233695841,0.313333333333333,0.017863235852220785,0.13930125121596318,0.6400000000000002,0.21765820502494237,0.0149850101245239,0.6400000000000002,0.023414078319568585,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0004902988499322943,0.6333333333333335,0.0007741560788404643,0.0,0.0,0.0,0.0,0.0,0.0
150000,0,0,0,0,0,0,0.2691064207426135,0.4566666666666661,0.589284133013023,0.04145523979046904,0.4833333333333327,0.08576946163545329,0.353593359178917,1.3933333333333318,0.2537751381666871,0.38405549433259634,0.6500000000000002,0.5908546066655326,0.37983237034562006,1.3433333333333326,0.28275362556745925,0.004336656363118061,0.2633333333333331,0.016468315302979996,0.08471906112662059,0.8233333333333347,0.10289764509306128,0.04961244146396977,0.6233333333333335,0.07959215208123491,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160000,0,0,0,0,0,0,0.199904348647441,0.30666666666666637,0.6518620064590473,0.22672578969142065,0.6800000000000005,0.3334202789579713,0.09329883317173007,1.2000000000000008,0.07774902764310834,0.48444080251432464,0.7300000000000008,0.663617537690855,0.41457812665896876,1.2166666666666668,0.3407491451991524,0.014335375552529605,0.05666666666666667,0.25297721563287534,0.10499859887568662,0.760000000000001,0.13815605115221904,0.02862550387267488,0.3633333333333329,0.07878579047525205,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.002385925734733694,0.6666666666666671,0.003578888602100539,0.0,0.0,0.0,0.0,0.0,0.0
170000,0,0,0,0,0,0,0.01393627964273677,0.333333333333333,0.04180883892821035,0.06362171588894083,0.6666666666666671,0.0954325738334112,0.03493564679019993,1.3899999999999986,0.025133558841870476,0.15119334444188248,0.21999999999999983,0.68724247473583,0.3947141679093878,0.883333333333335,0.4468462278219476,0.03519147392135491,0.19333333333333322,0.18202486511045654,0.05416836012511202,0.2399999999999998,0.22570150052130025,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.07391306929760448,0.713333333333334,0.10361645228636132,0.0170939264054587,0.06666666666666667,0.2564088960818805,0.0,0.0,0.0
180000,0,0,0,0,0,0,0.008426768259561502,0.3599999999999996,0.023407689609893086,0.0016497037516591615,0.6666666666666671,0.002474555627488741,0.07554548297995108,1.6366666666666627,0.046158136240296084,0.0,0.0,0.0,0.13745865886875036,1.0000000000000024,0.13745865886875003,0.032323429860847394,0.22333333333333316,0.14473177549633173,0.0,0.1666666666666666,0.0,0.05277193884597287,0.4699999999999994,0.11228072094887859,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.07489778515576623,0.5299999999999996,0.14131657576559678,0.02259110046339405,0.07,0.32273000661991497,0.0,0.0,0.0
190000,0,0,0,0,0,0,0.04620226479166375,0.49999999999999933,0.09240452958332762,0.0010834883137789126,0.6666666666666671,0.0016252324706683679,0.010570843360490014,1.516666666666664,0.00696978683109233,0.0,0.0,0.0,0.0034544721798525557,1.0000000000000024,0.0034544721798525474,0.0059656463443511125,0.1666666666666666,0.03579387806610669,0.0,0.1666666666666666,0.0,0.030495038302703434,0.5033333333333326,0.060586168813318166,0.0039502475470244445,0.01,0.3950247547024444,0,0,0,0,0,0,0.0,0.0,0.0,0.03951577406943304,0.49999999999999933,0.07903154813886619,0.042634400857985186,0.3166666666666664,0.1346349500778481,0.01565964560472867,0.043333333333333335,0.36137643703220007
200000,0,0,0,0,0,0,0.2496412181159846,0.4466666666666661,0.5588982495133991,0.1849862916929225,0.6933333333333338,0.2668071514801765,0.2308019692803519,1.6266666666666632,0.1418864565248068,0.0019478804055556224,0.0033333333333333335,0.5843641216666867,0.05019219343545285,1.0000000000000024,0.050192193435452725,0.012703301194453592,0.09666666666666666,0.13141346063227854,0.007383807418551755,0.1899999999999999,0.03886214430816715,0.04946000356548886,0.7633333333333343,0.06479476449627353,0.005589571342769628,0.013333333333333334,0.4192178507077221,0,0,0,0,0,0,0.0,0.0,0.0,0.004971866304870698,0.49999999999999933,0.00994373260974141,0.00847367791454667,0.06999999999999999,0.12105254163638102,0.0,0.0,0.0
210000,0,0,0,0,0,0,0.18749043076467034,0.33999999999999964,0.5514424434255016,0.17720247977860698,0.5766666666666665,0.30728753718833585,0.3861461604826186,1.6666666666666627,0.2316876962895717,0.2728845264367452,0.40999999999999953,0.6655720156993793,0.007653570282894518,1.0000000000000024,0.007653570282894499,0.0,0.0,0.0,0.07554055739182376,0.23666666666666647,0.3191854537682697,0.0446925348854655,0.8333333333333348,0.0536310418625585,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.49999999999999933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220000,0,0,0,0,0,0,0.25517865722267113,0.4499999999999994,0.5670636827170478,0.13195043147211014,0.5299999999999996,0.2489630782492646,0.19647657041562255,1.3966666666666656,0.14067534874626925,0.5748170146975344,0.8933333333333351,0.6434518821241044,0.17127886033070003,1.006666666666669,0.17014456324241684,0.0,0.0,0.0,0.07640171429203306,0.1666666666666666,0.45841028575219855,0.046555301536154794,0.8333333333333348,0.055866361843385656,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0013233149013150386,0.49999999999999933,0.0026466298026300806,0.0,0.0,0.0,0.0,0.0,0.0
230000,0,0,0,0,0,0,0.4742907614015714,0.8433333333333349,0.5624001123338781,0.1070631848047379,0.7600000000000008,0.1408726115851813,0.16439402087350785,1.1333333333333346,0.1450535478295656,0.36761325414267604,0.5266666666666662,0.6979998496379931,0.3576122604776333,0.863333333333335,0.41422269553393737,0.005475452471989275,0.10666666666666667,0.05133236692489945,0.004197398715351447,0.1666666666666666,0.02518439229210869,0.11107321978836582,1.0200000000000022,0.10889531351800547,0.010713715671600696,0.043333333333333335,0.2472395924215545,0,0,0,0,0,0,0.0,0.0,0.0,0.002681072743471854,0.49999999999999933,0.005362145486943715,0.0,0.0,0.0,0.0,0.0,0.0
240000,0,0,0,0,0,0,0.6427653739262565,1.576666666666663,0.40767359868473024,0.19856795015997186,1.1100000000000017,0.17889004518916357,0.1472423337556612,0.8900000000000018,0.16544082444456282,0.1743866045114788,0.22333333333333316,0.7808355425887117,0.3470550619286921,0.873333333333335,0.3973912922847612,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.12999925951060748,1.1633333333333342,0.11174721447903213,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.49999999999999933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,0,0,0,0,0,0,0.2850718479339839,1.0766666666666684,0.26477261418017034,0.335412834150449,1.6533333333333293,0.2028706658168043,0.32010873538512175,0.9133333333333351,0.3504840168450231,0.09586950334498319,0.12666666666666668,0.7568645000919725,0.21261293937911943,0.5799999999999998,0.36657403341227496,0.007827093148820422,0.1666666666666666,0.04696255889292255,0.07439970607704449,0.2599999999999998,0.2861527156809406,0.14318449062785246,1.150000000000001,0.12450825271987159,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0014577797315396693,0.49999999999999933,0.0029155594630793425,0.0,0.0,0.0,0.0,0.0,0.0
