Time,E1_D,E1_T,E1_V,E2_D,E2_T,E2_V,E3_D,E3_T,E3_V,E4_D,E4_T,E4_V,E5_D,E5_T,E5_V,E6_D,E6_T,E6_V,E7_D,E7_T,E7_V,off_R1_D,off_R1_T,off_R1_V,off_R2_D,off_R2_T,off_R2_V,off_R3_D,off_R3_T,off_R3_V,off_R4_D,off_R4_T,off_R4_V,on_R1_D,on_R1_T,on_R1_V,on_R2_D,on_R2_T,on_R2_V,on_R3_D,on_R3_T,on_R3_V,on_R4_D,on_R4_T,on_R4_V,on_R5_D,on_R5_T,on_R5_V,on_R6_D,on_R6_T,on_R6_V
50000,0.5865138209881842,0.9633333333333352,0.6088378764583214,0.8529692006334665,1.1266666666666676,0.7570732550001176,1.0945681803140064,1.7633333333333283,0.620738098476754,0.9402237718799163,1.2366666666666666,0.7602887643233827,0.7817398278420754,1.3166666666666664,0.593726451525627,0.9326827502473496,2.403333333333335,0.388078814249937,0.2802704684394818,3.21000000000002,0.0873116724110529,0.0733693043605814,0.2366666666666664,0.3100111451855555,0.2665997130483225,0.7033333333333339,0.3790517247132545,0.0883071727151862,0.7000000000000006,0.1261531038788374,0.0,0.0,0.0,0.0848245959479313,2.0999999999999943,0.0403926647371102,0.0,0.0,0.0,0.0074795662595962,0.1399999999999999,0.0534254732828302,0.2054237327915954,0.7133333333333339,0.2879771955022364,0.0069448446818336,0.03,0.2314948227277876,0.0011131142346194,0.0033333333333333,0.3339342703858445
60000,0.7255699967423006,1.0900000000000012,0.6597447625427566,0.9046094330924872,1.1533333333333342,0.7837271637506975,1.0176354818524251,1.6999999999999957,0.5977527916184725,0.8070412030307982,1.078333333333334,0.7463719007386906,1.0317883022087428,1.5266666666666644,0.665914121130015,1.175167062008912,2.5366666666666715,0.4595171924752438,0.6649317473968475,3.5216666666666945,0.1805592744256399,0.04771553834032865,0.14999999999999986,0.329177459330219,0.3524898712353216,0.9366666666666674,0.3768677552721488,0.06767623863350075,0.8333333333333348,0.08741033015587485,0.0,0.0,0.0,0.07052167766565255,2.380000000000001,0.03076376834287345,0.0,0.0,0.0,0.0037397831297981,0.15333333333333327,0.0267127366414151,0.22365673921438128,0.8566666666666682,0.2649334705697015,0.00821628296873195,0.03666666666666665,0.2252211181596288,0.0005565571173097,0.00166666666666665,0.16696713519292225
70000,0.634362342029429,1.0344444444444458,0.6029876151983063,1.0046516942642416,1.207777777777778,0.8274812863674063,0.9333130858571645,1.556666666666664,0.5992022006765259,0.6511648284184512,0.8700000000000004,0.747148972448655,0.9654741380648814,1.3677777777777766,0.7083382425873617,1.2954473033255036,2.462222222222225,0.5276715652945457,0.8431980256473676,3.431111111111137,0.24342214009385224,0.03181035889355243,0.09999999999999991,0.21945163955347935,0.34562939772480616,1.1233333333333329,0.325166874124367,0.10303106126551982,0.9500000000000012,0.10721459753008311,0.0,0.0,0.0,0.089680517881613,2.455555555555558,0.036877234945572934,0.0,0.0,0.0,0.0024931887531987333,0.15333333333333327,0.01780849109427673,0.19220665832083303,0.9366666666666682,0.21592520019755268,0.009821352812184167,0.042222222222222196,0.23159424022572303,0.00037103807820646666,0.0011111111111111,0.11131142346194817
80000,0.5010184043958962,1.0675000000000012,0.47388069529057925,0.7938565823315906,0.9775000000000001,0.7614289123339599,0.9669545735979203,1.6166666666666634,0.5979933532189237,0.5956858681527885,0.7633333333333334,0.8024194289732207,0.827617299794254,1.1608333333333325,0.7229420083212491,1.235594887581533,2.2416666666666685,0.5628482373173687,0.9448961258148562,3.5641666666666953,0.26141377241588815,0.07459538438445976,0.2024999999999998,0.26407424969313986,0.33182279050535796,1.3383333333333312,0.28048057183449554,0.1559687875188594,1.0433333333333341,0.13987857401888693,0.0,0.0,0.0,0.18995976593899577,2.396666666666668,0.08292791608656086,0.0,0.0,0.0,0.00667511149385965,0.1566666666666666,0.042187687894471276,0.1715166728235025,1.0358333333333343,0.18246515946032282,0.00819453951971795,0.03249999999999997,0.4222531533432402,0.00027827855865485,0.000833333333333325,0.08348356759646113
90000,0.4022128283203049,1.0873333333333346,0.3803029317783959,0.6505339611722075,0.8586666666666666,0.6494440741461287,0.8013359963651423,1.4459999999999975,0.5147776574486841,0.5245047879149868,0.7206666666666667,0.7291284402563148,0.7285836109398914,1.022666666666666,0.7198212047516552,1.1261404039795107,1.981333333333335,0.5967301791244098,0.9921123748373445,3.6126666666666964,0.2711788657922877,0.1587335928309721,0.4906666666666658,0.27153766668558965,0.3603827921376753,1.5099999999999976,0.2675974588636765,0.17047434023178018,0.9760000000000006,0.1765716944274104,0.0,0.0,0.0,0.20617053485974107,2.1093333333333346,0.12280350173231572,0.0,0.0,0.0,0.0064515611971895995,0.1586666666666666,0.0404189823281883,0.16603883906327835,1.1433333333333333,0.16429342045245937,0.00710223929869794,0.02866666666666664,0.37879809889386185,0.00022262284692388,0.00066666666666666,0.0667868540771689
100000,0.3985487635722597,1.2044444444444444,0.352322130283862,0.5513269580863778,0.8133333333333334,0.5569113333766685,0.6862441254419842,1.3322222222222202,0.4531701957981087,0.4381463412253521,0.6838888888888888,0.6097250694726554,0.6363706496547015,1.002222222222222,0.632315049002074,0.9583927045623261,1.6922222222222236,0.5781225867543978,0.9556928090365816,3.524444444444472,0.2677983330268756,0.2054119312286529,0.7416666666666648,0.26290940419823555,0.3487278927544318,1.4511111111111095,0.2648499567146699,0.14953755036799118,0.9027777777777782,0.1610727684562932,0.0,0.0,0.0,0.18899180067454222,1.8083333333333345,0.1589835754812602,0.0021800916268329,0.006111111111111099,0.05945704436817043,0.011707351777201032,0.1772222222222221,0.05713082149402004,0.20182513822208936,1.1533333333333335,0.18964755961289584,0.016286141509983653,0.05611111111111106,0.3692906449688034,0.0006015485364011667,0.0027777777777777666,0.08685792402831961
110000,0.49045241837405756,1.4550000000000003,0.3277367015362344,0.5123541838847862,0.8683333333333328,0.5015714226947937,0.5069975049541227,1.1772222222222213,0.35353153752935024,0.2822200454356611,0.561111111111111,0.4845656077993484,0.540588911830209,1.0533333333333323,0.5546182791100672,0.8109972165592118,1.3466666666666676,0.537841684494895,0.9403980575232079,3.4844444444444718,0.2638244998225216,0.2496162742202105,0.9738888888888865,0.24586208269081963,0.31026385044035043,1.500555555555554,0.20764391245643318,0.1533547532785764,0.9233333333333339,0.16255947587568345,0.0020566050795632167,0.00555555555555555,0.06169815238689663,0.1892653889517437,1.5155555555555573,0.1942253120757904,0.0021800916268329,0.006111111111111099,0.05945704436817043,0.019425981437416483,0.2094444444444443,0.07512224805732616,0.19651631730639516,1.1016666666666666,0.2133748344523703,0.01790876819531222,0.06388888888888884,0.3669703588485309,0.007583480582490434,0.023888888888888887,0.086336451414211
120000,0.5129538131440712,1.5588888888888883,0.2998413670835594,0.628407462453947,1.1566666666666683,0.4611567844352145,0.4226680153749996,1.083888888888889,0.32503197932361755,0.1851984229950132,0.4855555555555551,0.39525008953717927,0.37477098194176434,1.04611111111111,0.4598423767086059,0.5797498875092779,0.9572222222222219,0.46443278911357244,0.7855781409017889,3.3694444444444684,0.22458840464835675,0.2824362984631803,1.1611111111111088,0.2185606744400285,0.2391786193063891,1.4816666666666656,0.14706864046754003,0.18423496847495124,0.9255555555555562,0.19395954227463075,0.008685875687223283,0.027777777777777766,0.11141768194434719,0.20174521728225525,1.2005555555555565,0.2190789653151828,0.0021800916268329,0.006111111111111099,0.05945704436817043,0.019941347521408834,0.23722222222222203,0.07666834630930326,0.168012377925682,0.9716666666666661,0.22674632332563685,0.029688215183103505,0.10833333333333324,0.37357826474585476,0.013609231487959216,0.04222222222222222,0.1411160051002909
130000,0.6420430117320941,1.695555555555554,0.33551699506734795,0.6935772405501895,1.3705555555555584,0.4109505089879748,0.49024207841907524,1.162777777777777,0.3365472657515281,0.1667819083354026,0.45388888888888834,0.4153478769152598,0.3448766126622161,1.089444444444443,0.41078452659310694,0.3669641938762722,0.6466666666666663,0.4498040795731038,0.5941539363550681,3.287222222222244,0.1661583999703209,0.3039009668247778,1.2761111111111088,0.24966888945683652,0.2193289612083661,1.4438888888888881,0.1380356759128231,0.2054983791657237,0.8533333333333339,0.23644928037803462,0.008685875687223283,0.027777777777777766,0.11141768194434719,0.22870493625971244,0.9577777777777778,0.25288863470716244,0.0030465855200429836,0.008888888888888866,0.11144667796077619,0.0207462288597777,0.26166666666666644,0.07935128410386615,0.17835666024057661,0.8677777777777768,0.2744794541760701,0.02751629976658873,0.09944444444444434,0.33285485068620285,0.013609231487959216,0.04222222222222222,0.1411160051002909
140000,0.8113616338453903,1.7544444444444425,0.44355726064987344,0.9690650392015817,1.8000000000000052,0.4226829388913342,0.5471233806433001,1.2872222222222234,0.3298299608965855,0.19192591703657022,0.5149999999999998,0.37334090011274973,0.34235792247293767,1.0966666666666653,0.39697363581929834,0.3148663456277337,0.5688888888888891,0.4497026966522691,0.40377306447553624,3.135000000000019,0.11947915152360195,0.28691200451375193,1.2838888888888869,0.21358972650133112,0.23127398707035876,1.3011111111111118,0.16719317810590043,0.2054760824248021,0.7716666666666677,0.2597338336304878,0.008685875687223283,0.027777777777777766,0.11141768194434719,0.18101808726167035,0.8633333333333333,0.23667467802710307,0.0030465855200429836,0.008888888888888866,0.11144667796077619,0.029963353430274998,0.3055555555555552,0.08901553118601836,0.2010810652921365,0.7761111111111106,0.31309502881353973,0.028078330543506284,0.10277777777777768,0.2149090421689849,0.013609231487959216,0.04222222222222222,0.1411160051002909
