Time,E1_Q,E1_K,E2_Q,E2_K,E3_Q,E3_K,E4_Q,E4_K,E5_Q,E5_K,E6_Q,E6_K,E7_Q,E7_K,off_R1_Q,off_R1_K,off_R2_Q,off_R2_K,off_R3_Q,off_R3_K,off_R4_Q,off_R4_K,on_R1_Q,on_R1_K,on_R2_Q,on_R2_K,on_R3_Q,on_R3_K,on_R4_Q,on_R4_K,on_R5_Q,on_R5_K,on_R6_Q,on_R6_K
10,56.213456226260405,3.0879878689712417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.830984709539244,0.7212470271105521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.721492640628167,0.8360687501930798,0.0,0.0,0.0,0.0,0.0,0.0,49.32843732495479,1.9717271614830345
20,170.72040979831044,5.734834613803736,34.638528248606995,0.753003102662112,0.0,0.0,0.0,0.0,0.0,0.0,23.52913982790812,0.8757999614913847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.10026369466859,0.651403727127073,13.191274977801122,0.5460083056499705,25.189590503366972,1.1147583335907734,0.0,0.0,0.0,0.0,21.978026910195688,1.054751972319737,69.55726051678272,2.1829836430705023
30,225.6872602230247,7.6219383115083845,127.272699449807,2.861411790116032,12.39155413797999,0.2774296469168935,0.0,0.0,9.42285340759472,0.36547309494321795,16.053163201102134,0.8757999614913846,0.8000607222577697,0.06326223651268974,0.0,0.0,0.0,0.0,0.0,0.0,54.13433560153738,1.0856728785451215,35.382845153774674,1.4560221483999205,16.975372690170257,1.2076548613900044,0.0,0.0,0.0,0.0,40.66521392299506,2.0267782997516512,52.11284860639731,1.572687140706706
40,295.58130512865574,10.164626735363663,193.06179367064743,4.304667736885083,86.490494581483,2.080722351876697,5.547866513899796,0.10608955466452274,13.104215699611466,0.4625518857875103,19.862836235134857,0.8242823166977737,10.584542513095496,0.363757859947966,0.0,0.0,3.156511202137887,0.0639112001631726,0.0,0.0,45.151362855318254,0.9030824398807147,38.60861312330425,2.2181587417030038,12.731529517627694,1.25410312528962,0.0,0.0,0.0,0.0,41.47667550515971,2.7609683981310775,39.08463645479798,1.1795153555300295
50,330.07285404148416,10.616796387605884,266.8149746777855,5.793103869813853,158.00124031349765,3.6739611813137074,42.07911366858151,0.9166137523014772,34.28433778833979,1.096419284829653,26.393430021909104,0.9788352510786062,13.933136997958044,0.4554881028913661,9.086752142170527,0.22569231161625872,14.150494697710021,0.28632217673101334,0.0,0.0,36.121090284254606,0.7224659519045717,45.668778675622704,3.2760498338998203,19.679387112268735,1.700006458725929,0.0,0.0,4.247182469703224,0.16636392078705023,33.36632576313716,3.2014824571587335,31.267709163838383,0.9436122844240236
60,302.4441753627838,9.839897852317089,307.96026781149266,6.64316070570797,219.68845294491294,4.874835224396828,93.84127733970367,2.0652099974693754,74.08191238656225,1.9758389195367692,38.67844544633459,1.193492104385318,21.93131995596488,0.6853408955541389,8.926632146366819,0.21315384985979988,19.313520334638422,0.4090316810443048,3.263402297734364,0.0998469598150123,30.10090857021217,0.6020549599204764,55.27716432291046,4.436317483406011,23.719916314615364,2.1133960074325073,0.0,0.0,18.131869766633546,0.6065351278694541,27.80561813417118,3.495158496510504,26.056424303198654,0.786343570353353
70,349.98502422560415,11.628970189102015,339.00750276712546,7.3794304060887015,320.05980045906307,7.064547794705157,158.36689614663396,3.409011023219995,143.64269784162371,3.5976257783472985,73.92703344505519,2.0006018728185557,35.76501363670202,1.0860017268011741,15.392538239799476,0.45138462323251743,24.437001544445227,0.5198110946604707,9.139189220791076,0.2227355257411813,30.10090857021217,0.6020549599204764,71.78690480417377,6.074342400355924,20.507989970616766,2.6707751742278933,0.9126341122102329,0.07457418077332524,29.55536208858508,1.247729405902877,27.80561813417118,4.32241494538873,17.83501808237286,0.4577223767728473
80,337.2547859259899,13.46705820634679,356.44566959291325,7.92326598023356,370.9444946747238,8.312981205831175,214.16401509457864,4.653795131283728,219.8759632578876,5.390728150412463,132.40911289503768,3.3400606374524404,56.666138982675996,1.7502552101844169,44.92927649352433,1.1284615580812927,37.107324886162814,0.783977388668251,17.454860591964945,0.4531515868527482,19.067487338655976,0.38492038421145214,87.2260715206131,6.5293493217309,16.51866208924274,2.9959130215252014,8.163118095143604,0.32315478335107617,38.49575113313832,2.079549009838127,20.479609164105952,4.79808740349371,3.7327976255814135,0.12910118319234162
90,318.7869593220543,16.07714319083434,328.8038840598502,7.8144988654045875,401.16972508268924,9.204719356635474,236.18348556727588,5.672254856063145,269.2951473938503,7.800566370194315,160.47819470356052,3.932513552578966,109.18378365012892,3.426704477770695,68.72613093644779,1.6174615665831862,56.83027518394679,1.1930090697125555,35.83889752022174,0.9600669212981954,3.033740769443481,0.05921852064791572,84.43361156597418,6.290470688009038,17.00547429463963,2.798507899951835,8.453376258483642,0.33558381347996374,48.73968613974927,2.5907714747566666,20.263269394209143,4.942857282047401,7.891241228188965,0.3051482511818983
100,275.21701361965324,19.11611537934565,275.220760028929,7.546764428902503,365.70500781418286,9.125453743230647,234.85123298324743,6.733150402708372,285.26614673534135,10.644403890221243,155.52883577156783,3.992617471504845,151.61529465784648,4.755211444537178,79.06291077559338,1.8556923399559038,55.61050070828197,1.1674445896472865,69.66264701783255,1.7434815290775216,5.935777231184212,0.14804630161978935,86.25144651344787,5.824088593599689,17.00547429463963,2.5662665804537577,8.453376258483642,0.33558381347996374,69.61714728680205,3.2666249029540584,24.960428254014488,4.508547646386331,16.629994412045992,0.6455059159617078
