Time,E1_Q,E1_K,E2_Q,E2_K,E3_Q,E3_K,E4_Q,E4_K,E5_Q,E5_K,E6_Q,E6_K,E7_Q,E7_K,off_R1_Q,off_R1_K,off_R2_Q,off_R2_K,off_R3_Q,off_R3_K,off_R4_Q,off_R4_K,on_R1_Q,on_R1_K,on_R2_Q,on_R2_K,on_R3_Q,on_R3_K,on_R4_Q,on_R4_K,on_R5_Q,on_R5_K,on_R6_Q,on_R6_K
10,56.213456226260405,3.0879878689712417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.830984709539244,0.7212470271105521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.721492640628167,0.8360687501930798,0.0,0.0,0.0,0.0,0.0,0.0,49.32843732495479,1.9717271614830345
20,285.2273633703605,8.38168135863623,69.27705649721399,1.506006205324224,0.0,0.0,0.0,0.0,0.0,0.0,27.227294946277,1.0303528958722172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.20052738933718,1.302807454254146,26.382549955602244,1.092016611299941,30.65768836610578,1.3934479169884668,0.0,0.0,0.0,0.0,43.956053820391375,2.109503944639474,89.78608370861065,2.39424012465797
30,335.62096107245316,11.396145706917682,312.541041852207,7.078229165023872,37.17466241393997,0.8322889407506804,0.0,0.0,28.268560222784156,1.096419284829654,1.1012099474901542,0.8757999614913847,2.4001821667733094,0.1897867095380692,0.0,0.0,0.0,0.0,0.0,0.0,96.20247941527495,1.9542111813812182,79.76598550572177,3.2760498338998203,0.5469370637768262,1.3934479169884668,0.0,0.0,0.0,0.0,78.0395879485938,3.97083095461548,17.224024785626494,0.35209413597911354
40,505.2634398455488,17.7926920069295,390.4290763331687,8.634435577192237,308.78731591199204,7.490600466756106,22.191466055599186,0.424358218658091,24.148302575661702,0.7537882583203871,31.291855337233027,0.6697293823169412,39.93798788560867,1.2652447302537948,0.0,0.0,12.626044808551548,0.25564480065269046,0.0,0.0,18.202444616660884,0.35531112388749436,48.28591703189299,4.504568521612253,0.0,1.3934479169884668,0.0,0.0,0.0,0.0,43.91106025165367,4.963538693269356,0.0,0.0
50,468.03904969279785,12.425474996574764,561.8276987063376,11.746848401528935,444.04422324155627,10.046916499061753,188.20410228730842,4.1587105428492945,119.0048261432531,3.6318888809982237,52.51580516900609,1.5970469886019356,27.327514937408246,0.8224090746649664,45.43376071085263,1.1284615580812936,58.126428679998554,1.1759660830023764,0.0,0.0,0.0,0.0,73.9094408848965,7.507614202687087,47.470817490832886,3.4836197924711647,0.0,0.0,21.235912348516116,0.8318196039352511,0.9249267950469557,4.963538693269356,0.0,0.0
60,164.30078196928218,5.955405175873111,513.6867334800284,10.89344488517855,528.1245161019895,10.879205439812429,352.65209569531436,7.8081912233088655,273.0697853776745,6.37293709307235,100.10352256846205,2.2667763709188766,61.92223474599908,1.834604858868003,8.126032167348274,0.15046154107750576,45.12864851928043,1.0225792026107623,19.580413786406186,0.5990817588900739,0.0,0.0,103.31909255934926,10.237655730936964,43.92256232634854,4.180343750965397,0.0,0.0,87.55530625128515,2.807391163281473,0.0020799893412703978,4.963538693269356,0.0,0.0
70,341.4585494031825,13.822421889680802,186.28340973379716,4.41761820228439,602.2280850849008,13.138275421849977,387.1537128415817,8.06280615450372,417.3647127303688,9.730721152863177,231.3225127018628,5.563905637709979,83.00216208442284,2.4039649874822113,38.795436560595945,1.4293846402363053,30.74088725884083,0.6646764816969953,35.25472153834028,0.737331395557014,0.0,0.0,99.05844288757987,9.828149501699482,0.44993457663657477,4.180343750965397,5.475804673261398,0.4474450846399515,68.54095393170923,3.8471656682005375,0.0,4.963538693269356,0.0,0.0
80,208.8459335726747,19.410209462104874,173.9060574519408,4.769019650193378,305.3081652939642,7.490600466756106,334.78271368766815,7.468704648382394,457.39959249758317,10.758614232390988,378.1197716461719,9.067105483675526,125.40675207584385,3.9855209002994565,177.2204295223491,4.062461609092652,76.02194005030552,1.5849977640466806,49.894028227043215,1.3824963666694012,0.0,0.0,119.01755025423824,3.82205813954979,6.721721077861598,3.3442750007723183,43.50290389760022,1.4914836154665054,53.642334267319406,4.9909176236115,0.0,4.963538693269356,5.172760967861986,0.42251296317493625
90,224.81400144883975,27.056655613843006,146.69032865382852,6.425626476050037,218.52604486173288,6.182717845576473,132.11682283618364,6.110758348676507,324.7836650385603,15.555448603520771,169.51570079862722,4.4305174522505375,317.50605017149076,10.248482315055735,142.78112665754077,2.934000051011361,118.33770178670386,2.454190086265827,110.30422156954081,3.0414920066726827,0.0,0.0,63.01122577788811,1.8427780315686495,3.467810296158185,0.20901718754826998,1.7415489800402306,0.07457418077332525,61.463610039665724,3.0673347895112393,76.74154932921294,4.839450225937622,42.174686401271806,1.4083765439164537
100,243.84376563114267,36.02652513799735,68.93033214764166,7.028028958179731,95.99901230095377,7.015006786327148,14.197950551428352,6.78973149852945,119.97429862460827,17.816813378481953,1.5957017452768798,1.0303528958722172,294.5270539319141,9.236286530852691,62.02067903487361,1.4293846402363053,5.307397954562641,0.10225792026107618,202.94249698566483,4.700487646675958,35.614663387105274,0.8882778097187362,59.19292671673527,1.706275955156157,0.0,0.0,0.0,0.0,125.26476688231669,4.05512056918435,72.09401341048574,2.3576808793029413,52.43251910314215,2.042145988678857
110,358.0984633388303,32.938537269026185,261.9414213838889,15.210662673774614,72.11007304969286,8.322889407506782,15.087009470589887,7.63844793584563,86.25014133183285,20.48933538525426,0.0,1.0303528958722172,16.188708981635706,0.5060978921015179,31.948975761370832,0.9780000170037877,0.0,0.0,171.03357177623963,3.7788234022296967,68.36191057045617,1.480463016197893,19.273617886286488,2.047531146187388,0.0,0.0,0.0,0.0,104.05813146873162,3.1713122400031457,114.72346796765844,3.350388617956811,52.40281827116027,1.6196330255039215
120,272.25540124199085,10.660910500019767,869.8383614137833,26.907310868459685,154.5950018006956,13.494970682171695,28.356095909694353,7.723319579577248,109.90903281556086,22.887752570819153,4.4554439088009365,1.494011699014714,37.85992098791998,1.0754580207157254,116.59288052806642,2.8587692804726084,0.0,0.0,143.3622314721799,2.9032423700057426,15.881518620121078,0.35531112388749436,70.45502030698104,4.0950622923747755,0.0,0.0,0.0,0.0,45.72951345163975,2.547447537051707,41.832402460373096,1.1167962059856038,5.783069624108014,0.21125648158746813
130,349.698000341509,10.660910500019767,673.0910742349184,16.415467638033995,955.763165468218,26.989941364343693,209.67686067902596,5.856143417481653,317.19983248210804,15.075765166407793,276.57284205328926,9.324693707643581,20.22953076479051,0.5693601286142076,23.962374129530357,0.45138462323251727,69.26141787925707,2.147416325482599,104.81205372894196,2.442410247782609,0.0,0.0,38.874946701718386,5.5965851329121925,0.0,0.0,0.0,0.0,149.26800810243614,5.822737227546744,65.68348449388871,2.481769346634675,0.0,0.0
140,344.99411779222584,12.866616120713513,382.72066864201025,8.032033095062554,1037.097951664436,29.24901134638131,508.70659613847806,11.033313685110379,407.4515170114728,9.730721152863177,413.5386468907604,10.87022305145191,91.49003007916455,2.9733251160964196,0.0,0.0,237.76808914672714,5.879830415011875,118.43235750343104,3.225824855561936,0.0,0.0,106.19427787693617,8.599630813987034,2.1054193947128184,0.2786895833976933,0.0,0.0,136.18129527149978,8.214218588860575,78.49989242724942,4.467184823942418,0.0,0.0
150,464.0804368974827,14.484133575888926,383.3133939509628,8.483834956659816,584.9576409955064,14.981200933512188,779.2290397194216,18.332275046029547,586.8107000818992,13.088505212654026,219.82692184474695,4.997211544980258,410.995483780936,13.158545194639487,40.98826222186134,1.4293846402363053,279.50811490501394,6.902409617622635,161.00824014526376,3.68665697778507,0.0,0.0,44.69964794410932,9.555145348874493,39.41518710487273,1.3934479169884668,0.0,0.0,55.88217751364151,9.150015643287741,64.81974924070911,7.073042637908845,0.0,0.0
