Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
860,5,8,21,18,1,12,0,0,0,0,0,0,0,0,0,0,0
870,8,8,16,18,11,3,0,0,0,0,0,0,0,0,0,0,0
880,0,6,11,13,16,6,0,0,0,0,0,8,0,0,0,0,0
890,0,2,6,7,9,11,0,0,0,0,0,7,2,0,2,1,0
900,0,0,6,0,0,5,0,0,0,0,0,3,0,0,3,4,1
910,5,0,2,0,0,0,0,0,0,0,0,1,3,0,0,4,1
920,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
930,22,13,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
940,10,18,0,6,13,3,0,0,0,0,0,0,0,0,0,0,0
950,9,15,10,0,11,16,0,0,0,0,0,0,0,0,0,0,0
960,11,14,19,11,0,14,0,0,0,0,0,0,0,0,0,0,0
970,9,10,22,16,11,3,0,0,0,0,0,0,0,0,0,0,0
980,0,8,19,18,12,4,0,0,0,0,0,6,0,0,0,0,0
990,0,4,12,10,13,10,0,0,0,0,0,5,2,0,2,1,0
1000,0,0,8,0,0,9,0,0,0,0,0,3,0,0,7,4,0
1010,0,0,3,0,0,0,0,0,0,0,0,3,1,0,2,4,1
1020,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1030,24,8,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1
1040,10,20,0,9,12,4,0,0,0,0,0,0,0,0,0,0,0
1050,6,19,5,0,12,12,0,0,0,0,0,0,0,0,0,0,0
1060,6,7,19,7,2,10,0,0,0,0,0,0,0,0,0,0,0
1070,6,7,21,15,8,5,0,0,0,0,0,0,0,0,0,0,0
1080,0,9,13,17,11,4,0,0,0,0,0,6,0,0,0,0,0
1090,0,1,9,5,9,7,0,0,0,0,0,1,2,1,0,0,0
1100,0,0,4,0,0,10,0,0,0,0,0,1,0,0,4,4,0
1110,0,0,1,0,0,0,0,0,0,0,0,3,2,0,2,4,4
1120,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1130,25,10,0,4,4,0,0,0,0,0,0,0,0,0,1,0,1
1140,8,18,0,6,7,4,0,0,0,0,0,0,0,0,0,0,0
1150,5,18,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0
1160,6,8,20,3,0,6,0,0,0,0,0,0,0,0,0,0,0
1170,12,7,24,17,3,3,0,0,0,0,0,0,0,0,0,0,0
1180,2,6,17,19,10,1,0,0,0,0,0,4,0,0,0,0,0
1190,0,8,8,12,14,6,0,0,0,0,0,10,2,0,0,0,0
1200,0,0,8,0,0,8,0,0,0,0,0,9,3,1,7,3,0
1210,0,0,4,0,0,0,0,0,0,0,0,5,0,0,3,0,3
1220,15,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1230,23,9,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0
1240,15,20,0,9,12,0,0,0,0,0,0,0,0,0,0,0,1
1250,10,20,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0
1260,7,16,13,0,6,13,0,0,0,0,0,0,0,0,0,0,0
1270,7,7,20,13,0,9,0,0,0,0,0,0,0,0,0,0,0
1280,0,5,19,15,11,0,0,0,0,0,0,4,0,0,0,0,0
1290,0,2,19,16,12,2,0,0,0,0,0,9,1,1,0,0,0
1300,0,0,7,0,2,10,0,0,0,0,0,4,4,1,6,3,0
1310,0,0,4,0,0,1,0,0,0,0,0,2,1,0,2,4,3
1320,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1330,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,12,21,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0
1350,4,13,0,12,15,9,0,0,0,0,0,0,0,0,0,0,0
1360,8,6,9,0,15,14,0,0,0,0,0,0,0,0,0,0,0
1370,2,8,22,9,2,13,0,0,0,0,0,0,0,0,0,0,0
1380,5,2,17,19,8,5,0,0,0,0,0,4,0,0,0,0,0
1390,0,5,6,10,14,3,0,0,0,0,0,8,1,0,0,0,0
1400,0,0,4,1,1,12,0,0,0,0,0,8,4,0,6,2,0
1410,0,0,5,0,0,1,0,0,0,0,0,1,4,0,3,5,2
1420,11,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,0
1430,23,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1440,17,18,0,8,13,0,0,0,0,0,0,0,0,0,0,0,2
1450,7,19,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0
1460,9,14,5,0,2,13,0,0,0,0,0,0,0,0,0,0,0
1470,8,11,18,5,0,3,0,0,0,0,0,0,0,0,0,0,0
1480,6,7,24,18,4,0,0,0,0,0,0,2,0,0,0,0,0
1490,0,8,25,20,12,1,0,0,0,0,0,7,1,0,0,0,0
1500,0,0,12,4,3,8,0,0,0,0,0,2,2,0,4,2,0
1510,0,0,7,0,0,3,0,0,0,0,0,1,0,0,2,2,1
1520,10,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
1530,21,2,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1
1540,16,16,0,12,11,0,0,0,0,0,0,0,0,0,0,0,1
1550,7,20,0,10,15,8,0,0,0,0,0,0,0,0,0,0,0
1560,13,12,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0
1570,8,11,15,0,5,13,0,0,0,0,0,0,0,0,0,0,0
1580,5,11,21,14,0,9,0,0,0,0,0,2,0,0,0,0,0
1590,0,7,23,16,13,3,0,0,0,0,0,7,0,0,0,0,0
1600,0,0,12,6,3,4,0,0,0,0,0,2,4,1,4,2,0
1610,0,0,7,0,0,5,0,0,0,0,0,3,3,0,1,4,1
1620,6,0,4,0,0,0,0,0,0,0,0,1,2,0,2,0,0
1630,24,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
1640,16,14,0,12,12,0,0,0,0,0,0,0,0,0,0,1,0
1650,10,19,0,15,13,6,0,0,0,0,0,0,0,0,0,0,1
1660,7,15,0,4,19,15,0,0,0,0,0,0,0,0,0,0,0
1670,9,8,10,0,6,15,0,0,0,0,0,0,0,0,0,0,0
1680,3,8,20,10,1,11,0,0,0,0,0,2,0,0,0,0,0
1690,0,7,22,15,7,2,0,0,0,0,0,7,0,0,0,0,0
1700,0,0,17,8,6,2,0,0,0,0,0,8,4,0,3,2,0
1710,0,0,8,0,0,6,0,0,0,0,0,2,1,0,1,4,1
1720,5,0,2,0,0,0,0,0,0,0,0,2,0,0,2,5,0
1730,22,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1740,12,15,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0
1750,14,16,0,16,11,4,0,0,0,0,0,0,0,0,0,0,0
1760,8,15,0,1,17,11,0,0,0,0,0,0,0,0,0,0,0
1770,8,10,5,0,6,9,0,0,0,0,0,0,0,0,0,0,0
1780,6,9,19,6,0,10,0,0,0,0,0,0,0,0,0,0,0
1790,0,8,22,16,4,1,0,0,0,0,0,8,0,0,0,0,0
1800,0,0,22,9,5,0,0,0,0,0,0,5,3,1,2,1,0
1810,0,0,14,0,0,3,0,0,0,0,0,1,3,0,5,3,1
1820,5,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1830,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1840,19,16,0,7,8,0,0,0,0,0,0,0,0,0,0,1,0
1850,6,18,0,16,14,5,0,0,0,0,0,0,0,0,0,0,1
1860,7,14,0,14,18,11,0,0,0,0,0,0,0,0,0,0,0
1870,6,8,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0
1880,6,6,19,1,4,15,0,0,0,0,0,0,0,0,0,0,0
1890,0,5,21,17,1,10,0,0,0,0,0,6,0,0,0,0,0
1900,0,2,22,11,9,1,0,0,0,0,0,2,3,1,2,1,0
1910,0,0,8,0,0,4,0,0,0,0,0,0,4,1,3,4,1
1920,5,0,5,0,0,0,0,0,0,0,0,0,1,0,3,3,3
1930,16,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1940,22,15,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1950,16,20,0,16,11,4,0,0,0,0,0,0,0,0,0,0,0
1960,9,17,0,12,18,12,0,0,0,0,0,0,0,0,0,0,0
1970,5,10,0,1,16,13,0,0,0,0,0,0,0,0,0,0,0
1980,5,9,10,1,3,16,0,0,0,0,0,0,0,0,0,0,0
1990,0,5,23,13,0,6,0,0,0,0,0,6,0,0,0,0,0
2000,0,0,25,13,8,0,0,0,0,0,0,9,2,0,2,1,0
2010,0,0,20,0,0,2,0,0,0,0,0,5,5,0,3,3,0
2020,0,0,5,0,0,0,0,0,0,0,0,0,4,0,1,0,4
2030,20,0,3,0,0,0,0,0,0,0,0,0,0,1,2,1,4
2040,18,13,3,4,4,0,0,0,0,0,0,0,0,0,3,0,1
2050,5,18,0,18,18,4,0,0,0,0,0,0,0,0,0,0,0
2060,6,9,0,17,17,9,0,0,0,0,0,0,0,0,0,0,0
2070,5,5,0,1,18,17,0,0,0,0,0,0,0,0,0,0,0
2080,6,7,5,0,6,16,0,0,0,0,0,0,0,0,0,0,0
2090,1,6,24,7,0,11,0,0,0,0,0,6,0,0,0,0,0
2100,0,2,22,17,3,1,0,0,0,0,0,9,2,0,0,0,0
2110,0,0,11,0,0,0,0,0,0,0,0,5,3,0,8,4,0
2120,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,1,2
2130,20,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2140,19,7,1,4,4,0,0,0,0,0,0,0,0,0,3,0,1
2150,17,19,0,15,16,3,0,0,0,0,0,0,0,0,0,0,1
2160,8,13,0,7,11,7,0,0,0,0,0,0,0,0,0,0,0
