Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
860,4,10,16,9,14,14,0,0,0,0,0,0,0,0,0,0,0
870,10,8,13,14,12,15,0,0,0,0,0,0,0,0,0,0,0
880,0,6,11,7,13,12,0,0,0,0,0,4,0,0,0,0,0
890,0,6,5,9,7,10,0,0,0,0,0,6,1,0,0,0,0
900,0,0,0,0,0,0,0,0,0,0,0,2,3,0,6,3,2
910,18,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,0
920,13,7,5,4,4,0,0,0,0,0,0,0,0,0,0,1,0
930,7,13,12,10,11,4,0,0,0,0,0,0,0,0,0,0,1
940,11,12,10,9,10,10,0,0,0,0,0,0,0,0,0,0,0
950,7,8,14,9,13,11,0,0,0,0,0,0,0,0,0,0,0
960,10,10,10,13,7,11,0,0,0,0,0,0,0,0,0,0,0
970,2,8,9,6,10,13,0,0,0,0,0,4,0,0,0,0,0
980,0,9,7,8,7,4,0,0,0,0,0,6,1,1,0,0,0
990,0,0,0,0,0,0,0,0,0,0,0,2,3,0,6,3,3
1000,18,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,4
1010,11,7,5,3,4,0,0,0,0,0,0,0,0,0,1,1,1
1020,5,16,9,7,12,4,0,0,0,0,0,0,0,0,0,0,0
1030,10,11,14,7,8,10,0,0,0,0,0,0,0,0,0,0,0
1040,14,6,15,11,9,12,0,0,0,0,0,0,0,0,0,0,0
1050,10,8,8,11,6,7,0,0,0,0,0,0,0,0,0,0,0
1060,0,9,9,5,11,5,0,0,0,0,0,4,0,0,0,0,0
1070,0,5,9,6,4,8,0,0,0,0,0,8,1,1,0,0,0
1080,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,3,2
1090,16,0,0,0,0,0,0,0,0,0,0,0,2,1,5,4,2
1100,19,7,5,4,4,0,0,0,0,0,0,0,0,0,0,1,2
1110,13,13,13,11,10,4,0,0,0,0,0,0,0,0,0,0,0
1120,7,14,11,9,10,8,0,0,0,0,0,0,0,0,0,0,0
