Time,E1_Q,E1_K,E2_Q,E2_K,E3_Q,E3_K,E4_Q,E4_K,E5_Q,E5_K,E6_Q,E6_K,E7_Q,E7_K,off_R1_Q,off_R1_K,off_R2_Q,off_R2_K,off_R3_Q,off_R3_K,off_R4_Q,off_R4_K,on_R1_Q,on_R1_K,on_R2_Q,on_R2_K,on_R3_Q,on_R3_K,on_R4_Q,on_R4_K,on_R5_Q,on_R5_K,on_R6_Q,on_R6_K
140,27.906030790845197,57.547169811320636,56.036397173149524,83.41675008341632,128.78782537880622,192.2690426743466,87.07570463733259,114.1367323290849,30.420992179061987,39.91766980602505,45.913592158537995,69.1996766370252,14.892895590092325,27.821503093311836,5.316428188491162,7.805385716144137,23.981197058132757,32.055122828040695,1.9928320265116277,3.4452601171388446,0.0,0.0,13.352804520187949,102.65261627907026,10.296820910134864,32.52183608994612,0.0,0.0,2.2243380943030147,14.656895403064635,1.8327868688180136,15.510948905109485,0.0,0.0
150,43.0780569371315,82.54716981132079,28.223962800153824,38.82670549337217,77.18985219619964,118.57707509881348,100.6468740065536,151.79606025492512,84.66745973666686,116.42653693424022,21.019266959296516,31.366208569118765,46.50312822764268,87.12523337116063,1.3619503146506031,3.035427778500499,22.453133781430935,31.455961653684792,3.4020432704461623,4.2403201441708855,0.0,0.0,12.932421352100125,132.63081395348908,4.220193846032433,37.16781267422411,0.0,0.0,16.067770988859213,33.31112591605601,11.283393057636598,35.58394160583948,0.0,0.0
160,42.33054082437056,82.54716981132079,48.62302845219463,61.576728243394925,32.850248803022026,44.21518054532055,82.60549611641567,123.40672074159941,93.77256411911205,142.62250774444445,54.01753297632288,80.19401778496383,27.43776391241289,52.348354504520906,4.062300922451094,5.203590477429426,3.9494351847181046,5.392450569203117,2.8676515146993427,5.035380171202926,0.0,0.0,6.666482362801525,148.07412790697757,0.025698292128844624,37.16781267422411,0.0,0.0,4.1686747768421455,35.30979347101937,5.7570762873850105,45.620437956204476,3.734114124333869,8.297990042411952
170,44.90935243689268,119.81132075471737,35.31341730633927,44.28671095337763,45.3648256016148,58.28364708246808,30.047572849358104,41.71494785631519,76.41780447625172,125.99014532526716,78.63299717777595,125.14147130153646,30.782288157893632,56.741223413991186,6.037183108664784,14.309873812930915,0.0,0.0,5.466561915023876,9.540720324384486,0.14180013099382807,0.34472060395049814,8.944877272851697,149.43677325581478,4.5041158217414096e-05,37.16781267422411,0.0,0.0,5.7672788622843445,45.9693537641573,0.9271405682490952,48.35766423357675,1.9124301565579849,9.219988936013278
180,40.388750417741065,190.56603773584825,7.276038395232229,12.740012740012743,43.92660571759339,58.28364708246808,33.011196619801744,40.556199304750876,41.69846256912694,72.76658558389981,74.27322241980966,121.261115602264,48.999802761472026,90.41988505326334,45.032305134520016,63.74398334851036,6.1426239196793535,10.185739964050338,11.935833968515634,18.816420639758288,10.282880908166481,15.857147781722896,28.002076502232452,100.3815406976749,0.6780987776887069,33.45103140680172,0.0,0.0,9.848667806512076,57.29513657561635,3.1944932521279927,54.744525547445384,0.321773261597989,11.063986723215931
190,28.252493641030956,246.22641509433768,17.0452402886327,27.300027300027306,18.863607584374662,30.14671400817304,35.13117962716769,79.37427578215544,34.8681186058656,100.62579263602179,37.50190054327828,62.409054163298414,56.14216836804911,106.52707105465437,37.696496018252915,50.73500715493686,9.617669052411916,14.679448771719608,16.814617257002368,24.91188084700393,8.652285723346745,12.409941742217923,21.595380948892437,43.15043604651169,1.7153912937761409,6.504367217989221,0.0,0.0,7.748730699713025,37.97468354430385,3.590486815083518,39.23357664233584,4.469442874811761,18.439977872026546
200,18.163280810789615,289.62264150943116,10.138002150657972,31.850031850031858,9.853034943354938,26.797079118376043,3.110413664837144,92.69988412514506,30.228879964965426,147.61221647019764,4.5469367615453224,23.28213419563457,43.64076892168372,84.19665409818045,18.875143963661426,23.416157148432436,1.7847417306839473,2.396644697423607,21.37618903717033,30.21228102721753,12.593958559369295,19.304353821227885,7.381218228436638,12.263808139534879,0.0,0.0,0.0,0.0,4.525032780288236,8.32778147901399,1.8201870771661781,4.562043795620437,0.968753942780814,7.375991148810624
210,35.92523350841737,288.20754716980855,20.553093520376258,66.73340006673335,0.6010743567646633,26.797079118376043,3.580278429064307,104.28736964078821,5.022050378966105,152.60192519595083,3.4240802666973864,25.86903799514951,6.696189101735278,12.446461910165837,9.444037418396631,13.442608733359345,0.0,0.0,11.717525835861377,15.901200540640806,7.638667724801967,9.652176910613944,0.7307573139849137,3.633720930232557,0.0,0.0,0.0,0.0,6.607592270084806,14.323784143904074,7.723331207450308,16.423357664233574,0.0,0.0
220,68.1998097429748,184.43396226415027,97.37868345892613,163.1934965268276,7.832659408192422,46.22496147919877,0.4478890131365868,101.96987253765958,3.509724407861281,158.00744298218345,0.2727562196976588,26.839126919967615,0.0,0.0,6.75329301736697,13.442608733359345,0.0,0.0,6.200810381896635,7.685580261309726,0.0,0.0,9.203929825730574,18.168604651162784,0.2997184006187109,1.858390633711206,0.0,0.0,6.454408978526361,13.324450366422393,12.95619174688859,26.459854014598573,8.180175948805223,15.673981191222564
230,59.46733220258272,116.98113207547206,98.2824965778816,147.11681378347856,85.38768862831208,130.97072419106223,15.600271229493538,46.34994206257245,41.50769175244771,131.8114721719792,23.047975568850774,65.64268391269212,0.0,0.0,20.798111563532963,35.99150080222022,1.8957085865135208,4.194128220491312,11.23324127575105,16.166220549651488,9.62751849936814,9.652176910613944,3.386758259874544,25.436046511627897,8.868754500475253,19.513101653967656,0.0,0.0,2.7295519142995075,18.654230512991358,7.015936090717096,27.372262773722664,5.965417110381848,10.141987829614605
