Time,E1_D1,E1_T1,E1_D2,E1_T2,E1_D3,E1_T3,E1_D4,E1_T4,E1_D5,E1_T5,E1_D6,E1_T6,E2_D1,E2_T1,E2_D2,E2_T2,E2_D3,E2_T3,E2_D4,E2_T4,E2_D5,E2_T5,E2_D6,E2_T6,E3_D1,E3_T1,E3_D2,E3_T2,E3_D3,E3_T3,E3_D4,E3_T4,E3_D5,E3_T5,E3_D6,E3_T6,E4_D1,E4_T1,E4_D2,E4_T2,E4_D3,E4_T3,E4_D4,E4_T4,E4_D5,E4_T5,E4_D6,E4_T6,E5_D1,E5_T1,E5_D2,E5_T2,E5_D3,E5_T3,E5_D4,E5_T4,E5_D5,E5_T5,E5_D6,E5_T6,E6_D1,E6_T1,E6_D2,E6_T2,E6_D3,E6_T3,E6_D4,E6_T4,E6_D5,E6_T5,E6_D6,E6_T6,E7_D1,E7_T1,E7_D2,E7_T2,E7_D3,E7_T3,E7_D4,E7_T4,E7_D5,E7_T5,E7_D6,E7_T6,off_R1_D1,off_R1_T1,off_R1_D2,off_R1_T2,off_R1_D3,off_R1_T3,off_R1_D4,off_R1_T4,off_R1_D5,off_R1_T5,off_R1_D6,off_R1_T6,off_R2_D1,off_R2_T1,off_R2_D2,off_R2_T2,off_R2_D3,off_R2_T3,off_R2_D4,off_R2_T4,off_R2_D5,off_R2_T5,off_R2_D6,off_R2_T6,off_R3_D1,off_R3_T1,off_R3_D2,off_R3_T2,off_R3_D3,off_R3_T3,off_R3_D4,off_R3_T4,off_R3_D5,off_R3_T5,off_R3_D6,off_R3_T6,off_R4_D1,off_R4_T1,off_R4_D2,off_R4_T2,off_R4_D3,off_R4_T3,off_R4_D4,off_R4_T4,off_R4_D5,off_R4_T5,off_R4_D6,off_R4_T6,on_R1_D1,on_R1_T1,on_R1_D2,on_R1_T2,on_R1_D3,on_R1_T3,on_R1_D4,on_R1_T4,on_R1_D5,on_R1_T5,on_R1_D6,on_R1_T6,on_R2_D1,on_R2_T1,on_R2_D2,on_R2_T2,on_R2_D3,on_R2_T3,on_R2_D4,on_R2_T4,on_R2_D5,on_R2_T5,on_R2_D6,on_R2_T6,on_R3_D1,on_R3_T1,on_R3_D2,on_R3_T2,on_R3_D3,on_R3_T3,on_R3_D4,on_R3_T4,on_R3_D5,on_R3_T5,on_R3_D6,on_R3_T6,on_R4_D1,on_R4_T1,on_R4_D2,on_R4_T2,on_R4_D3,on_R4_T3,on_R4_D4,on_R4_T4,on_R4_D5,on_R4_T5,on_R4_D6,on_R4_T6,on_R5_D1,on_R5_T1,on_R5_D2,on_R5_T2,on_R5_D3,on_R5_T3,on_R5_D4,on_R5_T4,on_R5_D5,on_R5_T5,on_R5_D6,on_R5_T6,on_R6_D1,on_R6_T1,on_R6_D2,on_R6_T2,on_R6_D3,on_R6_T3,on_R6_D4,on_R6_T4,on_R6_D5,on_R6_T5,on_R6_D6,on_R6_T6
15000,0.0,0.08666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.08666666666666663,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0201812742487099,0.023333333333333334,0.0,0.08666666666666663,0.007995392006768371,0.016666666666666666,0.018385072950752333,0.06999999999999999,0.0,0.0,0,0,0.025933586245491497,0.03666666666666667,0.006002868433158735,0.01,0.03136177052984164,0.04,0.011497030288337302,0.013333333333333334,0,0,0,0,0.10310356172231634,0.14999999999999986,0.052491755087428,0.07333333333333332,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0010890170600521111,0.08666666666666663,0.0,0.0,0,0,0,0,0,0,0.024068042986959852,0.08666666666666663,0.022485941038160425,0.10333333333333326,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.02337725138543108,0.05666666666666667,0.013651549748322883,0.04,0,0,0,0,0.01462175614973256,0.08666666666666663,0.004867503315611572,0.17333333333333314,0.003954857682858619,0.016666666666666666,0.054011038033061926,0.18333333333333313,0.020175704197114702,0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.029195333992956762,0.0833333333333333,0.0008928648277079593,0.0033333333333333335,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.03141479550429481,0.08666666666666663,0.025226313052510777,0.07666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
20000,0.0,0.07333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0006586376436087289,0.07333333333333332,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.024410498911479683,0.11666666666666657,0.02151972412889172,0.030000000000000002,0.0,0.0,0.0,0.0,0,0,0.004402096168364724,0.023333333333333334,0.022015764480457674,0.05,0.0,0.0,0.0,0.0,0,0,0,0,0.045208749994631904,0.06666666666666667,0.02809357818323842,0.0833333333333333,0.006451589680532242,0.006666666666666667,0,0,0,0,0,0,0.0,0.0,0.020303750360073113,0.10333333333333326,0.02192089375099984,0.03333333333333333,0,0,0,0,0,0,0.0112275014841369,0.043333333333333335,0.011483692828177022,0.060000000000000005,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.030129539447083784,0.06333333333333334,0.020535384836469828,0.04666666666666667,0.022466731296604973,0.05333333333333334,0,0,0,0,0.025922361301091764,0.07333333333333332,0.010458585822752928,0.0833333333333333,0.02926675265542862,0.1299999999999999,0.024655556457609834,0.08999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005705351910085196,0.01,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.024269503484600875,0.05666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
25000,0.00037535726506688206,0.08666666666666663,0.0,0.0,0.0,0.0,0.00756377332600577,0.02,0,0,0,0,0.0023584793070897474,0.08666666666666663,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.010086006355690597,0.06999999999999999,0.0066107356687673275,0.10333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.003343077188306824,0.08666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.020104598967470574,0.17333333333333314,0.0,0.0,0,0,0,0,0,0,0.03232255493476962,0.06333333333333334,0.022544446311795953,0.10999999999999992,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.013786178102023332,0.03666666666666667,0.0,0.0,0,0,0,0,0,0,0.029605776117206183,0.0833333333333333,0.022105344145393,0.05333333333333334,0.029208365464956143,0.07333333333333332,0.0162100802275674,0.05,0,0,0,0,0.016677323391417705,0.05333333333333334,0.03251242485025936,0.11666666666666657,0.04993439398951122,0.19666666666666643,0.0009524037498274147,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056889313226050784,0.030000000000000002,0.0,0.0,0,0,0.0055308610172312535,0.02,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019747125744177627,0.03666666666666667,0.010299461289513725,0.02,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
30000,0.013803454503360514,0.07999999999999997,0.0,0.0,0.03552865966739755,0.06666666666666667,0.04132884316228619,0.09666666666666661,0,0,0,0,0.0019407545855709223,0.07999999999999997,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.07999999999999997,0.0,0.07999999999999997,0.0,0.0,0.008171519737100355,0.016666666666666666,0.017723841807659298,0.04,0,0,0.0,0.07999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0017420634965342877,0.15999999999999984,0.0,0.0,0,0,0,0,0,0,0.026376917027712436,0.06999999999999999,0.01701728748182991,0.08666666666666663,0.0005880175436234703,0.0033333333333333335,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.017742493609163204,0.060000000000000005,0.020005218854835027,0.05333333333333334,0.01718571518739372,0.05,0.0,0.0,0,0,0,0,0.00857159428607551,0.07999999999999997,0.05236760710664857,0.22333333333333305,0.004880516997170941,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.013312819705326438,0.07999999999999997,0.0,0.0,0,0,0.008450880395873064,0.023333333333333334,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.006284511051073538,0.01,0.03194148550482726,0.05333333333333334,0.00967721254196601,0.016666666666666666,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0019207502532810725,0.006666666666666667,0,0,0,0,0,0,0,0,0,0
35000,0.037765578559873385,0.060000000000000005,0.045383514007341516,0.07666666666666665,0.041817683361664124,0.09333333333333328,0.0408208154927372,0.0833333333333333,0,0,0,0,0.028420923727784608,0.07999999999999997,0.019954072554416318,0.030000000000000002,0.018494404512009958,0.02666666666666667,0,0,0,0,0,0,0.0,0.07999999999999997,0.0,0.07999999999999997,0.00833081298062366,0.03666666666666667,0.022509226514028608,0.043333333333333335,0.0,0.0,0,0,0.0,0.07999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.15999999999999984,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.013704296209913766,0.07999999999999997,0.008994617314663373,0.07999999999999997,0,0,0,0,0,0,0.0,0.0,0.013542786297280606,0.023333333333333334,0.02037649450780544,0.03333333333333333,0,0,0,0,0,0,0.019412240111946543,0.10999999999999992,0.01884696314565949,0.05,0.0,0.0,0.0,0.0,0,0,0,0,0.0005776063944429725,0.1299999999999999,0.016380616806906764,0.18999999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02356576044368178,0.10333333333333326,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.031143933483745393,0.05,0.020306431579257576,0.030000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0025283158864808737,0.02,0,0,0,0,0.0,0.0,0,0,0,0,0.008870604379762111,0.023333333333333334,0,0,0,0,0,0,0,0,0,0
40000,0.012776651070071487,0.03333333333333333,0.05430387320889029,0.12333333333333323,0.04704107508991374,0.09666666666666661,0.024500397005084783,0.04,0,0,0,0,0.07536961356790915,0.09666666666666661,0.07548780339868603,0.10333333333333326,0.027642602253179015,0.03666666666666667,0,0,0,0,0,0,0.0009920492215341854,0.07999999999999997,0.0,0.07999999999999997,0.0015087683959052022,0.07999999999999997,0.0,0.0,0.0,0.0,0,0,0.011537200916594895,0.043333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.020120453162140194,0.21333333333333307,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0035771359389752478,0.07999999999999997,0.00037566881177239774,0.07999999999999997,0,0,0,0,0,0,0.03482573387056153,0.05666666666666667,0.013368227069058058,0.023333333333333334,0.0,0.0,0,0,0,0,0,0,0.020310586618781688,0.1299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.15999999999999984,0.0,0.15999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.018370448985755836,0.05,0.010043028966498814,0.030000000000000002,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0281176446558166,0.060000000000000005,0.001733272229571032,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299530728234744,0.08666666666666663,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
45000,0.07776385962152833,0.1566666666666665,0.05372313983467273,0.09333333333333328,0.023839198497203593,0.03666666666666667,0.0,0.0,0,0,0,0,0.055618367627224684,0.07333333333333332,0.04929204839797226,0.060000000000000005,0.07407679081602613,0.1199999999999999,0,0,0,0,0,0,0.005651263144319178,0.08666666666666663,0.0020254781060875544,0.08666666666666663,0.006593165578979027,0.08666666666666663,0.009339174610155402,0.023333333333333334,0.026094923284717943,0.043333333333333335,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.015683606286737248,0.05666666666666667,0.01283763825444404,0.2899999999999999,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0005172350423626984,0.08666666666666663,0.0,0.08666666666666663,0,0,0,0,0,0,0.03260594962690364,0.10666666666666659,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.007054049311932249,0.043333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.17333333333333314,0.0,0.17333333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016333119766792963,0.06333333333333334,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.02339023132129558,0.05666666666666667,0.01284303408052332,0.030000000000000002,0.007672188879721273,0.03666666666666667,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006639391313070641,0.016666666666666666,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
50000,0.02784801460282466,0.04666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.03624317004108226,0.05333333333333334,0.09495985542862635,0.14666666666666653,0.07719341488168796,0.11666666666666657,0,0,0,0,0,0,0.030857569323424996,0.09333333333333328,0.025556157671452532,0.06666666666666667,0.01883760665086894,0.05333333333333334,0.04683266763075944,0.1299999999999999,0.03831972870104596,0.05666666666666667,0,0,0.0,0.0,0.0,0.0,0.013111087429296711,0.023333333333333334,0.006256352624817602,0.013333333333333334,0,0,0,0,0.01914371633825157,0.07999999999999997,0.008175351882394627,0.19666666666666643,0.0096347814937736,0.03333333333333333,0,0,0,0,0,0,0.0,0.0,0.0,0.07999999999999997,0.004241791888207552,0.08999999999999996,0,0,0,0,0,0,0.024688229818005593,0.08999999999999996,0.004967713269909166,0.07666666666666665,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.15999999999999984,0.0,0.15999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014843310644987544,0.05666666666666667,0.0056330094723865826,0.030000000000000002,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.005831062672025234,0.07999999999999997,0.0,0.0,0.020530723180600022,0.07999999999999997,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
55000,0.0,0.0,0.0,0.0,0.0242712653013548,0.030000000000000002,0.02444705863552019,0.03333333333333333,0,0,0,0,0.15234491257904534,0.24666666666666634,0.06822993935370675,0.09999999999999994,0.0,0.0,0,0,0,0,0,0,0.04500475033052158,0.09666666666666661,0.037808085335629966,0.05666666666666667,0.07999598461466541,0.1666666666666665,0.031987008539117866,0.05333333333333334,0.0,0.0,0,0,0.007083712476764862,0.01,0.031051504459852476,0.04666666666666667,0.03207480828572131,0.060000000000000005,0.014140331432406396,0.030000000000000002,0,0,0,0,0.05373535832042813,0.10666666666666659,0.03819486828435677,0.09666666666666661,0.008582397108032401,0.02666666666666667,0,0,0,0,0,0,0.011197912400443988,0.016666666666666666,0.02658566637304753,0.12666666666666657,0.016568906441016995,0.11666666666666657,0,0,0,0,0,0,0.0030641053169303354,0.07999999999999997,0.0,0.08666666666666663,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.17333333333333314,0.0,0.17333333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014816407058352543,0.03666666666666667,0.014446951198642465,0.043333333333333335,0.009012401049258245,0.030000000000000002,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.08666666666666663,0.023090647987246696,0.07666666666666665,0.0029764816869881985,0.01,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
60000,0.030864744034201082,0.04,0.026186923992780504,0.03333333333333333,0.018222949555710858,0.02666666666666667,0.035955662994796835,0.06999999999999999,0,0,0,0,0.05078157996086662,0.08666666666666663,0.07179042456583748,0.1199999999999999,0.051887892053350614,0.07999999999999997,0,0,0,0,0,0,0.04178960833768755,0.060000000000000005,0.05924991422942909,0.13333333333333322,0.0046134527735280425,0.01,0.007230932155033808,0.01,0.0185664267757435,0.02666666666666667,0,0,0.021355900679592213,0.030000000000000002,0.024666891449198983,0.05333333333333334,0.07593359299317842,0.13333333333333322,0.0077190885200354555,0.01,0,0,0,0,0.04643479488789131,0.07333333333333332,0.051779533481924496,0.08666666666666663,0.011207972189855874,0.02,0,0,0,0,0,0,0.04549805914282915,0.07999999999999997,0.0028719430366965734,0.0833333333333333,0.017993795442901923,0.10666666666666659,0,0,0,0,0,0,0.0,0.08666666666666663,0.0,0.07999999999999997,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.017291903792582813,0.15999999999999984,0.0009832312947574686,0.14999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04014522169414529,0.08666666666666663,0.01472909542060852,0.043333333333333335,0.011329918769584758,0.03666666666666667,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.006338982452292858,0.1299999999999999,0.007171997836842958,0.030000000000000002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
