Time,E1_s,E1_e,E2_s,E2_e,E3_s,E3_e,E4_s,E4_e,E5_s,E5_e,E6_s,E6_e,E7_s,E7_e,off_R1_s,off_R1_e,off_R2_s,off_R2_e,off_R3_s,off_R3_e,off_R4_s,off_R4_e,on_R1_s,on_R1_e,on_R2_s,on_R2_e,on_R3_s,on_R3_e,on_R4_s,on_R4_e,on_R5_s,on_R5_e,on_R6_s,on_R6_e
10000,10,9,9,7,7,13,7,10,10,9,9,9,8,12,0,1,6,0,0,0,1,0,3,0,0,0,1,0,1,0,2,0,0,0
20000,1,6,5,12,12,9,8,11,11,14,10,8,8,17,1,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0
30000,0,0,1,11,11,11,9,5,5,6,6,9,9,9,5,0,2,0,0,4,0,0,3,6,0,0,0,0,0,0,0,0,0,0
40000,3,0,4,1,1,7,6,4,6,8,2,7,7,8,4,2,1,5,4,2,0,0,3,5,0,0,0,0,3,2,1,0,2,0
50000,6,0,0,0,6,0,0,0,5,1,0,1,1,3,0,5,0,4,1,0,0,0,2,0,0,6,0,0,1,5,2,0,0,0
60000,8,9,9,0,3,0,0,0,5,1,0,0,0,0,0,2,0,0,3,0,3,0,3,0,0,3,0,0,1,5,0,3,1,3
70000,16,12,12,10,10,5,3,2,2,4,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1
80000,8,15,13,13,13,12,8,11,11,12,9,0,0,0,2,0,4,2,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0
90000,11,10,10,14,14,18,15,8,8,10,8,6,6,0,0,2,3,4,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0
100000,11,10,10,12,12,17,12,14,14,8,7,9,9,10,0,1,5,0,0,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0
110000,5,5,4,7,7,13,12,13,13,13,10,8,8,10,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
