Time,E1_s,E1_e,E2_s,E2_e,E3_s,E3_e,E4_s,E4_e,E5_s,E5_e,E6_s,E6_e,E7_s,E7_e,off_R1_s,off_R1_e,off_R2_s,off_R2_e,off_R3_s,off_R3_e,off_R4_s,off_R4_e,on_R1_s,on_R1_e,on_R2_s,on_R2_e,on_R3_s,on_R3_e,on_R4_s,on_R4_e,on_R5_s,on_R5_e,on_R6_s,on_R6_e
10000,9,11,10,0,5,0,0,0,1,0,1,0,0,0,1,3,0,0,2,1,3,0,2,0,0,4,0,1,0,1,0,3,0,3
20000,8,12,10,6,6,0,0,2,2,3,1,0,1,0,2,3,0,0,3,0,4,0,2,0,0,0,0,0,0,0,1,4,0,5
30000,11,7,7,12,11,11,8,11,11,9,8,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40000,8,12,12,10,10,15,11,6,6,13,12,9,9,0,0,1,4,6,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
50000,12,9,9,7,7,10,8,13,13,10,6,14,13,2,0,0,2,3,3,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0
60000,5,5,4,13,13,9,6,7,7,11,8,10,10,12,1,0,3,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
70000,0,0,2,6,6,9,7,5,5,7,4,9,9,13,1,2,2,0,2,4,0,0,1,3,0,0,0,0,2,0,0,0,2,0
80000,0,0,2,1,1,7,4,6,6,7,5,2,2,8,5,0,3,5,2,2,0,0,1,5,0,0,1,0,1,0,1,0,0,0
90000,9,0,1,0,3,1,0,0,4,0,0,4,4,7,3,3,1,5,0,0,0,0,2,4,0,2,1,1,0,4,2,0,3,0
100000,16,13,11,1,4,0,0,0,4,1,1,0,1,0,2,3,0,0,3,0,4,0,2,0,0,4,0,0,0,4,2,4,1,5
110000,14,20,19,8,7,0,0,2,2,4,0,0,0,0,1,3,0,0,4,0,4,0,0,0,0,0,0,0,1,0,0,4,2,4
120000,13,15,15,15,15,7,4,2,2,6,3,0,0,0,0,3,3,0,2,6,0,0,3,0,0,0,0,0,1,0,1,0,0,0
130000,14,18,15,19,19,16,11,6,6,4,4,7,6,0,3,0,5,6,0,2,1,0,1,0,0,0,0,0,3,0,3,1,0,0
140000,10,11,10,14,14,14,12,8,8,6,4,4,3,9,1,0,2,1,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
150000,4,9,8,14,14,19,17,16,16,9,8,5,5,5,1,3,2,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0
160000,0,0,1,12,12,13,11,17,17,14,13,8,8,5,2,1,2,0,0,3,0,0,1,3,0,0,0,0,2,0,0,0,1,0
170000,0,0,1,0,0,14,12,7,7,16,11,10,10,8,5,2,2,3,3,6,0,0,2,5,0,0,0,0,0,0,0,0,1,0
180000,7,0,1,0,4,3,2,0,4,1,1,8,8,6,5,3,1,7,0,0,0,0,3,6,0,3,1,1,1,4,2,0,0,0
190000,13,9,9,0,4,0,0,0,5,0,1,0,0,0,0,4,0,0,2,0,3,0,3,0,0,4,0,0,1,5,1,3,0,3
200000,8,15,13,5,5,1,1,4,5,3,0,0,0,0,2,2,0,0,5,1,0,0,1,0,0,0,0,0,1,1,0,5,1,0
210000,11,12,12,13,12,12,9,11,11,11,4,0,0,0,0,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
