Time,E1_s,E1_e,E2_s,E2_e,E3_s,E3_e,E4_s,E4_e,E5_s,E5_e,E6_s,E6_e,E7_s,E7_e,off_R1_s,off_R1_e,off_R2_s,off_R2_e,off_R3_s,off_R3_e,off_R4_s,off_R4_e,on_R1_s,on_R1_e,on_R2_s,on_R2_e,on_R3_s,on_R3_e,on_R4_s,on_R4_e,on_R5_s,on_R5_e,on_R6_s,on_R6_e
70000,0,0,0,0,0,13,7,11,11,11,10,2,2,8,0,2,6,6,1,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0
80000,0,0,0,0,0,17,13,8,8,12,9,11,11,7,0,4,4,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
90000,0,0,0,0,0,5,4,11,11,9,7,9,9,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100000,0,0,0,0,0,2,2,7,7,11,7,8,8,9,0,2,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0
110000,0,0,0,0,0,0,0,3,4,6,4,6,5,6,0,3,0,2,2,5,1,0,0,0,0,0,1,0,1,1,1,0,0,0
120000,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,4,5,1,0,0,0
130000,0,0,0,0,0,5,5,0,2,2,0,0,1,0,0,3,0,1,5,0,2,0,0,0,0,0,1,0,1,2,0,5,0,3
140000,0,0,0,0,0,10,6,6,7,1,1,0,0,0,0,2,4,0,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,3
150000,0,0,0,0,0,12,7,5,5,8,8,1,1,1,0,1,5,0,2,5,0,0,0,0,0,0,0,0,1,0,1,2,0,0
160000,0,0,0,0,0,13,10,8,8,12,10,6,6,9,0,0,3,8,3,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0
170000,0,0,0,0,0,11,7,9,9,11,8,8,8,8,0,1,4,3,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
180000,0,0,0,0,0,10,6,12,12,11,7,12,11,9,0,0,4,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
190000,0,0,0,0,0,7,4,11,11,10,9,6,5,7,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0
200000,0,0,0,0,0,0,0,1,2,11,9,7,6,4,0,2,0,3,2,6,1,0,0,0,0,0,0,0,1,1,2,0,2,0
210000,0,0,0,0,0,0,0,0,4,1,1,4,4,1,0,4,0,6,0,1,0,0,0,0,0,0,1,0,2,4,0,0,1,0
220000,0,0,0,0,0,4,4,0,6,2,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,6,0,4,0,3
230000,0,0,0,0,0,13,9,4,4,2,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,2,0,1,3,0,3
240000,0,0,0,0,0,10,7,9,9,11,9,2,2,1,0,2,3,0,1,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0
250000,0,0,0,0,0,12,11,12,12,14,12,10,9,12,0,2,1,8,1,3,1,0,0,0,0,0,2,0,4,0,0,0,0,0
260000,3,0,0,3,3,9,9,10,10,11,9,8,8,10,1,2,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
270000,0,0,2,11,11,10,10,9,9,8,7,11,10,9,3,1,0,0,1,0,1,0,1,3,2,0,0,0,0,0,1,0,1,0
280000,0,0,2,0,1,7,6,8,8,11,10,7,6,7,2,2,1,0,1,2,1,0,0,2,1,1,0,0,0,0,1,0,0,0
290000,5,0,0,0,6,0,0,2,4,4,3,10,10,7,1,2,0,3,1,4,0,0,2,1,1,4,0,2,0,2,1,0,0,0
300000,10,11,9,1,1,0,0,0,6,1,0,5,5,0,2,2,0,7,1,0,0,0,1,0,0,0,0,0,1,6,1,0,0,0
310000,11,13,12,7,7,4,2,0,3,2,0,0,2,0,1,2,2,0,3,2,0,0,0,0,0,0,0,0,1,3,0,3,0,2
320000,9,13,13,10,10,12,9,4,4,0,0,0,1,0,0,2,3,0,3,0,2,0,1,0,0,0,0,0,0,0,2,3,0,3
330000,9,10,8,16,16,10,7,8,8,8,7,1,1,2,2,1,3,0,1,3,0,0,2,0,0,0,0,0,1,0,2,0,0,0
340000,10,10,10,8,8,13,9,9,9,12,10,6,6,10,0,1,4,3,1,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0
350000,5,5,5,13,12,12,11,9,9,13,10,12,10,10,1,1,1,1,2,0,2,0,5,1,0,0,0,0,1,0,0,0,0,0
