Time,E1_e,E2_e,E3_e,E4_e,E5_e,E6_e,E7_e,off_R1_e,off_R2_e,off_R3_e,off_R4_e,on_R1_e,on_R2_e,on_R3_e,on_R4_e,on_R5_e,on_R6_e
10000,16,12,0,2,4,0,0,3,0,0,0,0,0,0,0,4,0
20000,9,12,13,8,7,2,0,1,3,1,0,0,0,0,0,0,0
30000,13,14,16,11,12,5,0,0,3,2,0,0,0,0,0,0,0
40000,6,12,12,12,12,8,4,0,0,1,0,0,0,0,0,0,0
50000,3,7,13,12,13,10,10,1,0,1,0,0,0,0,0,0,0
60000,0,3,9,6,11,10,10,1,0,5,0,9,0,0,0,0,0
70000,0,0,3,6,5,8,10,4,3,5,0,6,0,0,0,0,0
80000,0,0,0,0,0,2,8,4,7,0,0,3,1,1,7,0,2
90000,17,1,0,0,0,0,0,3,0,0,0,0,2,0,2,5,4
100000,15,12,1,4,4,0,0,0,0,0,0,0,0,0,0,2,3
110000,9,13,10,4,12,0,0,1,2,6,0,0,0,0,0,0,0
120000,10,10,12,10,6,8,0,1,1,2,0,0,0,0,0,0,0
130000,10,11,12,9,8,8,8,3,0,0,0,0,0,0,0,0,0
140000,5,8,10,9,13,1,8,4,0,0,0,0,0,0,0,0,0
150000,0,8,12,8,8,9,5,0,0,5,0,5,0,0,0,0,0
160000,0,0,6,3,4,7,5,2,4,5,0,6,0,0,0,0,0
170000,0,0,0,0,1,3,4,2,3,0,0,5,3,0,5,0,1
180000,14,1,0,0,1,0,0,4,0,0,0,0,2,0,3,4,3
190000,14,7,1,3,3,0,0,4,0,0,0,0,0,0,1,3,1
200000,19,14,11,8,9,0,0,3,1,4,0,0,0,0,0,0,0
210000,7,16,11,10,11,6,0,3,4,1,0,0,0,0,0,0,0
220000,11,15,12,10,8,10,11,0,1,0,0,0,0,0,0,0,0
230000,6,8,14,12,12,4,10,1,0,0,0,1,0,0,0,0,0
240000,0,7,10,11,12,9,5,2,0,3,0,4,0,0,0,0,0
250000,0,0,10,5,9,8,7,2,2,4,0,6,0,0,1,0,0
260000,1,1,0,0,0,6,6,2,4,0,0,4,4,0,5,0,0
270000,13,2,0,0,1,0,0,2,0,0,0,1,2,0,4,4,0
280000,14,12,2,3,1,0,0,2,0,0,0,0,0,0,1,2,0
290000,13,15,11,10,11,0,0,1,0,3,0,0,0,0,0,1,0
300000,12,15,16,9,14,9,0,2,5,0,0,0,0,0,0,0,0
310000,8,13,17,14,11,12,10,0,1,0,0,0,0,0,0,0,0
320000,3,12,15,14,12,9,11,1,0,0,0,0,0,0,0,0,0
330000,0,5,12,11,13,10,13,0,0,1,0,4,0,0,0,0,0
340000,0,0,9,5,12,7,11,2,5,2,0,4,0,0,0,0,0
