Time,E1_D,E1_T,E1_V,E1_N,E2_D,E2_T,E2_V,E2_N,E3_D,E3_T,E3_V,E3_N,E4_D,E4_T,E4_V,E4_N,E5_D,E5_T,E5_V,E5_N,E6_D,E6_T,E6_V,E6_N,E7_D,E7_T,E7_V,E7_N,off_R1_D,off_R1_T,off_R1_V,off_R1_N,off_R2_D,off_R2_T,off_R2_V,off_R2_N,off_R3_D,off_R3_T,off_R3_V,off_R3_N,off_R4_D,off_R4_T,off_R4_V,off_R4_N,on_R1_D,on_R1_T,on_R1_V,on_R1_N,on_R2_D,on_R2_T,on_R2_V,on_R2_N,on_R3_D,on_R3_T,on_R3_V,on_R3_N,on_R4_D,on_R4_T,on_R4_V,on_R4_N,on_R5_D,on_R5_T,on_R5_V,on_R5_N,on_R6_D,on_R6_T,on_R6_V,on_R6_N
110000,0.1123425221121793,0.1799999999999999,0.6241251228454409,4,0.5698750937114451,0.6333333333333334,0.8998027795443868,6,0.29879472295281173,0.303333333333333,0.9850375481960837,5,0.21089262121635077,0.3399999999999997,0.6202724153422087,4,0.17296916863040962,0.3599999999999996,0.4804699128622495,4,0.03462983221468858,0.05,0.6925966442937715,1,0.2694955172159731,1.1000000000000014,0.2449959247417934,8,0.0,0.0,0.0,0,0.0049031568207511915,0.1,0.049031568207511915,1,0.05880985183147663,0.20999999999999985,0.28004691348322225,2,0.0,0.0,0.0,0,0.035949105981732635,0.5766666666666664,0.062339490141732914,4,0.0,0.0,0.0,0,0.027523755489956375,0.12333333333333335,0.2231655850537003,1,0.03532952040131215,0.1666666666666666,0.211977122407873,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
120000,0.19266714806399626,0.43666666666666615,0.44122247648243473,3,0.19065327218467748,0.24333333333333312,0.7835065980192232,2,0.3998827546491755,0.49999999999999933,0.7997655092983521,5,0.2223340820211385,0.2766666666666664,0.8036171639318267,4,0.2454100803532367,0.4666666666666661,0.5258787436140793,5,0.1551734679394694,0.1799999999999999,0.8620748218859415,2,0.1271796564247885,0.4933333333333327,0.25779660086105816,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.05272968025590572,0.333333333333333,0.15818904076771734,2,0.0,0.0,0.0,0,0.04281956454415556,0.6666666666666671,0.0642293468162333,4,0.0,0.0,0.0,0,0.023707991190376945,0.14666666666666664,0.16164539447984283,1,0.0,0.1666666666666666,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
130000,0.026848944765355497,0.4599999999999994,0.05836727122903376,3,0.002503208074276389,0.0033333333333333335,0.7509624222829167,1,0.20957269532969883,0.2299999999999998,0.9111856318682566,3,0.2041857546417522,0.23666666666666647,0.8627567097538833,3,0.31205413401072074,0.5566666666666664,0.5605762886420136,5,0.22870766220839966,0.27999999999999975,0.8168130793157138,3,0.09195287238784058,0.1666666666666666,0.5517172343270437,2,0.12703593846114958,0.13666666666666666,0.9295312570328018,3,0.05746773814747977,0.1433333333333333,0.40093770800567285,1,0.049818858056134376,0.20999999999999985,0.23723265741016386,2,0.0,0.0,0.0,0,0.09279469033711088,0.343333333333333,0.27027579709838145,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.1533333333333333,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
140000,0.0,0.47999999999999937,0.0,3,0.0,0.0,0.0,0,0.0025930825843831404,0.0033333333333333335,0.7779247753149421,1,0.09341849954000445,0.1666666666666666,0.5605109972400268,2,0.24825846125155895,0.42333333333333284,0.5864373100430533,5,0.24141334371352322,0.4299999999999995,0.5614263807291244,5,0.0976538868955924,0.16333333333333325,0.5978809401770967,3,0.1296680805645428,0.3299999999999997,0.39293357746831187,3,0.02241641293465403,0.15999999999999995,0.14010258084158775,1,0.08082181965125702,0.2166666666666665,0.3730237830058019,2,0.0,0.0,0.0,0,0.035332377328822835,0.08333333333333334,0.423988527945874,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.1343344459908673,0.3599999999999996,0.3731512388635207,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
150000,0.04848817602827102,0.5933333333333332,0.08172164499146803,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0004683339371540571,0.1666666666666666,0.0028100036229243438,1,0.03863527757756991,0.2733333333333331,0.14134857650330468,3,0.1837145391231796,0.49999999999999933,0.3674290782463597,3,0.0842489601752456,0.1666666666666666,0.5054937610514738,1,0.07318100969806957,0.1799999999999999,0.4065611649892756,2,0.015027442877349244,0.1666666666666666,0.0901646572640955,1,0.044815373445597766,0.333333333333333,0.13444612033679343,2,0.0,0.0,0.0,0,0.05821898698972141,0.1666666666666666,0.3493139219383286,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.4021197458263552,0.6533333333333337,0.615489406877074,5,0.0,0.0,0.0,0,0.009835311899628382,0.03666666666666667,0.26823577908077406,2
160000,0.3039121297964137,0.8000000000000012,0.3798901622455166,6,0.09548198473045769,0.16333333333333327,0.5845835799823942,3,0.0,0.0,0.0,0,0.0,0.1666666666666666,0.0,1,0.1305766920473694,0.5333333333333329,0.24483129758881786,5,0.08427109449250467,0.49999999999999933,0.16854218898500956,3,0.0,0.1666666666666666,0.0,1,0.0,0.0,0.0,0,0.019108242671577333,0.1666666666666666,0.11464945602946404,1,0.07720769932751259,0.343333333333333,0.2248767941578039,3,0.023626909000159346,0.06666666666666667,0.3544036350023902,2,0.053532734279151444,0.323333333333333,0.16556515756438608,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.12304443177661499,0.23666666666666647,0.5199060497603455,3,0.03213310594031841,0.11,0.29211914491198554,1,0.027744805338649346,0.10666666666666667,0.2601075500498376,2
170000,0.08638823026156428,0.19666666666666655,0.4392621877706661,3,0.42524197447508777,0.6300000000000001,0.6749872610715678,5,0.037469703458185066,0.043333333333333335,0.8646854644196553,1,0.012196199625838617,0.1666666666666666,0.07317719775503173,1,0.0551275004351412,0.2966666666666664,0.18582303517463342,4,0.019502960890157562,0.49999999999999933,0.03900592178031517,3,0.0,0.1666666666666666,0.0,1,0.05390934654633841,0.13,0.41468728112568004,1,0.0002206378835326761,0.1666666666666666,0.001323827301196057,1,0.09120399125233035,0.43999999999999945,0.20728179830075105,4,0.0,0.0,0.0,0,0.021523692614804177,0.333333333333333,0.0645710778444126,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.031598813166460404,0.10333333333333333,0.30579496612703616,1,0.0,0.0,0.0,0
180000,0.08541777436697714,0.14666666666666664,0.5823939161384807,2,0.25521116704685515,0.42333333333333284,0.602861024520131,4,0.2825112830393732,0.35333333333333294,0.7995602350170947,4,0.059889565916368084,0.07333333333333333,0.8166758988595648,2,0.08517638003717966,0.27999999999999975,0.3042013572756419,2,0.0,0.49999999999999933,0.0,3,0.0,0.1666666666666666,0.0,1,0.05409983902576796,0.1666666666666666,0.3245990341546079,1,0.00030012556340650433,0.1666666666666666,0.0018007533804390266,1,0.18075349881069858,0.45999999999999935,0.3929423887189105,4,0.0,0.0,0.0,0,0.0,0.333333333333333,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.004098598966428091,0.01,0.40985989664280914,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
190000,0.17052095477938853,0.25666666666666643,0.6643673562833325,3,0.1484949429922358,0.2433333333333331,0.6102531903790519,3,0.17089306575559643,0.4133333333333329,0.41345096553773375,4,0.1442958696991357,0.15666666666666662,0.9210374661646962,2,0.20256436973095074,0.3099999999999997,0.6534334507450029,3,0.06582667778845394,0.2399999999999998,0.27427782411855833,4,0.05328058702620932,0.25666666666666643,0.207586702699517,2,0.008776499041980064,0.07666666666666666,0.11447607446060953,1,0.02941745718757062,0.1666666666666666,0.17650474312542377,1,0.1487383585381213,0.49999999999999933,0.297476717076243,3,0.022073894222738682,0.07333333333333333,0.3010076484918911,2,0.0,0.333333333333333,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.2519621420687124,0.5466666666666663,0.4609063574427669,4,0.008179036176745652,0.043333333333333335,0.18874698869413042,1,0.0,0.0,0.0,0
200000,0.2080078657362114,0.28333333333333305,0.7341454084807469,3,0.2773967573454922,0.3666666666666663,0.7565366109422521,3,0.10712328601243802,0.3866666666666662,0.2770429810666504,4,0.0,0.0,0.0,0,0.09809674404117802,0.11333333333333334,0.8655595062456883,2,0.2418437263730571,0.20666666666666653,1.1702115792244705,2,0.14130951065545921,0.26999999999999974,0.5233685579831828,3,0.0,0.0,0.0,0,0.03899176433433652,0.2899999999999997,0.13445435977357434,2,0.11647279905208355,0.6366666666666668,0.18294156919175422,4,0.0,0.0033333333333333335,0.0,1,0.0,0.333333333333333,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.14644720952037824,0.6666666666666671,0.21967081428056723,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0
