Time,E1_D1,E1_T1,E1_D2,E1_T2,E2_D1,E2_T1,E2_D2,E2_T2,E3_D1,E3_T1,E3_D2,E3_T2,E4_D1,E4_T1,E4_D2,E4_T2,E5_D1,E5_T1,E5_D2,E5_T2,E6_D1,E6_T1,E6_D2,E6_T2,E7_D1,E7_T1,E7_D2,E7_T2,off_R1_D1,off_R1_T1,off_R1_D2,off_R1_T2,off_R2_D1,off_R2_T1,off_R2_D2,off_R2_T2,off_R3_D1,off_R3_T1,off_R3_D2,off_R3_T2,off_R4_D1,off_R4_T1,off_R4_D2,off_R4_T2,on_R1_D1,on_R1_T1,on_R1_D2,on_R1_T2,on_R2_D1,on_R2_T1,on_R2_D2,on_R2_T2,on_R3_D1,on_R3_T1,on_R3_D2,on_R3_T2,on_R4_D1,on_R4_T1,on_R4_D2,on_R4_T2,on_R5_D1,on_R5_T1,on_R5_D2,on_R5_T2,on_R6_D1,on_R6_T1,on_R6_D2,on_R6_T2
110,79.10996861091077,26.25,61.72456075547956,9.666666666666666,84.3151346010565,19.083333333333332,159.2938318505616,15.416666666666666,59.45971593081429,12.166666666666666,90.72086565762407,7.75,49.20080380782455,12.5,19.501783346543093,1.5833333333333333,25.691891146111022,11.083333333333334,29.73971412819911,2.5,0.0,0.0,0.0,0.0,9.900544366548695,1.0833333333333333,12.457722334764576,1.6666666666666667,34.595374920889185,2.6666666666666665,41.62164478441715,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1022847236391957,0.25,15.873272035676093,1.3333333333333333,34.76949679140486,10.833333333333334,21.774321357715973,3.5833333333333335,10.104358260347583,5.333333333333333,6.793147866194935,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.89722374284612,5.5,14.377993646367235,2.1666666666666665
120,79.50941161870077,28.25,49.53776708119168,8.0,90.99719888633751,23.0,186.52573686313409,18.416666666666668,57.120387235971975,15.333333333333334,113.68261148202198,11.083333333333334,39.68721194630359,14.75,16.527676672809474,1.3333333333333333,25.852756041215997,14.166666666666666,23.63042893112029,2.1666666666666665,0.0,0.0,0.7963336335769876,0.25,9.900544366548695,1.0833333333333333,12.457722334764576,1.6666666666666667,34.595374920889185,2.6666666666666665,41.62164478441715,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.334484068697478,0.5833333333333334,15.873272035676093,1.3333333333333333,31.354137801264546,7.083333333333333,14.7910285733229,2.5,10.756667843680916,3.75,6.793147866194935,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.89722374284612,5.5,13.38944522329073,1.8333333333333333
130,72.01525099358763,26.916666666666668,47.137422783395806,7.75,104.6104563247821,24.666666666666668,189.25629881003306,18.916666666666668,91.49622217331455,18.75,163.73153228591727,15.666666666666666,40.050062815340446,15.0,23.79927825178878,2.3333333333333335,29.93367543567834,15.25,40.296221826525596,4.083333333333333,0.0,0.0,17.257210959242787,1.9166666666666667,9.900544366548695,1.0833333333333333,12.457722334764576,1.6666666666666667,34.595374920889185,2.6666666666666665,36.726014593432346,3.1666666666666665,0.0,0.0,21.417658803563587,2.1666666666666665,0.0,0.0,0.0,0.0,7.334484068697478,0.5833333333333334,15.873272035676093,1.3333333333333333,24.48662891510698,2.75,13.930592032558062,2.1666666666666665,10.756667843680916,2.0833333333333335,6.793147866194935,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.897871508063458,4.583333333333333,6.990630205345219,1.0833333333333333
140,73.34579794138354,25.0,53.44563024758926,9.083333333333334,107.51077519197963,24.083333333333332,187.68221249869805,18.416666666666668,113.69550253630278,20.75,193.4472950126345,18.333333333333332,77.3439419773278,17.833333333333332,31.799515076118194,2.9166666666666665,30.709959265855883,15.083333333333334,55.21103882776975,5.166666666666667,12.04302595507921,1.25,48.605868926906396,4.416666666666667,9.900544366548695,1.0833333333333333,16.896062552752465,2.25,18.451355676861393,1.4166666666666667,10.481642173788368,0.8333333333333334,17.13190516870472,1.1666666666666667,46.95447473382438,4.25,0.0,0.0,0.0,0.0,7.334484068697478,0.5833333333333334,15.873272035676093,1.3333333333333333,14.19369541584215,1.4166666666666667,7.802157943696295,1.25,14.79480761983786,1.5833333333333333,13.814375807507583,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18735677856512,2.9166666666666665,6.990630205345219,1.0833333333333333
150,94.69946536006712,23.5,47.70721165121548,7.916666666666667,99.8160067118148,21.416666666666668,197.95703769031465,19.5,129.1255226572695,21.25,194.0108341110981,18.5,89.29442991096654,17.166666666666668,45.164228989953614,4.166666666666667,67.31517636586427,15.833333333333334,83.74402183691235,7.333333333333333,28.825528554110623,3.0,75.8163299146005,6.583333333333333,14.556422522795208,1.6666666666666667,35.53057905211051,4.5,9.443104283094831,0.75,10.481642173788368,0.8333333333333334,26.47711264625114,1.9166666666666667,68.13138099972252,6.083333333333333,0.0,0.0,0.0,0.0,7.334484068697478,0.5833333333333334,15.873272035676093,1.3333333333333333,10.538355685335468,0.9166666666666666,10.424949535910715,2.0,18.35237125756151,3.25,13.814375807507583,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32207705141818216,0.16666666666666666,10.18735677856512,1.25,6.035295257170418,0.75
160,88.86212962691411,16.416666666666668,47.34309614191045,8.083333333333334,128.32753815995943,20.083333333333332,222.74277353988882,20.916666666666668,131.44793830089742,18.333333333333332,202.59840378977012,19.333333333333332,110.73322411919013,15.833333333333334,48.9092662176862,4.5,89.9088504184205,14.75,114.96492351830837,10.333333333333334,50.789701495979386,5.166666666666667,125.65967024509105,11.0,31.28308546822314,3.6666666666666665,45.815499542537445,5.5,9.443104283094831,0.75,3.1472067343921615,0.25,35.55340230466509,2.6666666666666665,69.10284981667526,6.166666666666667,0.0,0.0,0.0,0.0,7.334484068697478,0.5833333333333334,15.873272035676093,1.3333333333333333,1.3516141610430719,1.75,7.714107238254754,1.75,18.36399991075635,4.916666666666667,12.092486964873038,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85120972016627,0.75,7.154710191812,1.0833333333333333,0.9011512789325913,0.08333333333333333,0.0,0.0
170,94.51698258696337,11.166666666666666,56.91064563396492,9.583333333333334,132.61745158991985,14.833333333333334,214.27665721595247,19.666666666666668,161.86771587574017,17.5,253.4971098068988,23.25,111.39042118082898,12.583333333333334,48.9092662176862,4.5,113.82919576100637,13.916666666666666,125.56725314583603,11.666666666666666,70.94275759264382,7.25,167.47708538536122,14.833333333333334,33.593386812825024,4.0,78.68536498285238,9.25,0.0,0.0,0.0,0.0,35.55340230466509,2.6666666666666665,69.10284981667526,6.166666666666667,0.0,0.0,3.4270434420656666,0.5833333333333334,4.232199345058281,0.3333333333333333,0.0,0.0,1.3554159352712787,3.4166666666666665,7.714107238254754,1.75,8.424659075564856,5.5,7.021227941312648,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.765903958142715,2.4166666666666665,7.154710191812,1.0833333333333333,0.0,0.0,0.0,0.0
180,75.50531308999192,13.25,54.91198658079046,9.333333333333334,115.89928927990387,10.083333333333334,138.87226050339402,12.583333333333334,175.357294879155,15.166666666666666,231.12230099682174,19.833333333333332,140.18249898546046,11.666666666666666,62.62632365803691,5.5,121.52257168236459,11.75,139.15339325111802,12.5,98.08365760701393,9.916666666666666,182.80350716534437,16.0,63.02818513831332,7.416666666666667,99.85211059086625,11.5,0.0,0.0,0.0,0.0,35.55340230466509,2.6666666666666665,85.02431615574527,7.75,0.9624780954696254,0.08333333333333333,20.6052769136447,2.1666666666666665,0.0,0.0,0.0,0.0,6.361692049838747,5.083333333333333,15.757253399455891,3.25,8.34232216850579,7.083333333333333,7.021227941312648,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.767617481464069,4.083333333333333,7.154710191812,1.0833333333333333,0.0,0.0,0.0,0.0
190,74.84927669936427,19.833333333333332,51.98276676562066,8.666666666666666,67.66249221394408,5.666666666666667,98.65246216568202,8.916666666666666,133.69850188607737,11.166666666666666,161.2873421730437,13.916666666666666,138.94211708676804,11.666666666666666,55.262348330998655,4.5,133.85115064571286,13.5,135.20881719623077,11.666666666666666,110.22755909779778,11.0,185.99760624448672,16.333333333333332,79.92247150899931,9.083333333333334,118.97114754552594,13.416666666666666,0.0,0.0,4.550069558396646,0.4166666666666667,44.89390795245043,3.5833333333333335,66.15397095162852,5.833333333333333,8.677304508779164,0.75,20.6052769136447,2.1666666666666665,0.0,0.0,0.0,0.0,28.38593162314976,7.75,24.156912668029083,4.416666666666667,10.34102793397572,7.5,7.021227941312648,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3190686814862523,0.16666666666666666,8.16234559132738,5.75,7.154710191812,1.0833333333333333,0.0,0.0,0.0,0.0
200,64.79416746571347,25.5,41.87459602856499,6.916666666666667,60.2056488858901,5.25,109.68001170585613,10.083333333333334,95.86426203227528,8.666666666666666,102.9193963889321,8.666666666666666,91.28389633513355,9.583333333333334,35.830911448193454,3.0,126.89849112405788,17.75,108.09696950347227,9.583333333333334,104.45600509767121,11.416666666666666,154.64894827682312,13.833333333333334,86.69550857756019,9.833333333333334,125.32911759819397,14.083333333333334,10.03781253678774,0.75,13.553502855328631,1.0833333333333333,27.762002783745704,2.4166666666666665,40.61715502136774,3.75,8.677304508779164,0.75,36.20651395656236,3.5833333333333335,0.0,0.0,0.0,0.0,39.083517119901536,8.666666666666666,30.46965203011574,5.0,6.137890621476384,7.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9373965029125014,0.08333333333333333,15.054146771108028,1.75,9.931677738188315,6.0,7.154710191812,1.0833333333333333,0.0,0.0,0.0,0.0
210,47.15075080797379,27.833333333333332,37.11640411039964,6.333333333333333,69.33765720475421,8.083333333333334,110.3044508052257,10.5,64.10186740067054,7.5,90.39089306122032,7.5,69.3421369524924,9.916666666666666,22.903002340674238,2.0833333333333335,82.22606836565303,19.25,77.3495028975222,7.416666666666667,87.82791984080633,11.333333333333334,127.43848728912901,11.666666666666666,87.88670393956153,9.916666666666666,106.69460109883592,11.833333333333334,19.17512030917977,1.3333333333333333,19.96381727715442,1.5,18.416795306199287,1.6666666666666667,19.44024875546959,1.9166666666666667,18.14036468470554,1.5,43.313317760485695,4.166666666666667,0.0,0.0,0.0,0.0,38.729207934195905,8.583333333333334,24.9418131084572,3.9166666666666665,2.5803269837527325,5.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,9.361867641424277,1.1666666666666667,15.054146771108028,1.75,9.931677738188315,6.0,7.129314427001784,1.0833333333333333,0.0,0.0,0.0,0.0
220,50.25143503942582,28.916666666666668,38.3019823905808,6.666666666666667,58.83406186798615,9.0,101.58230851234924,10.0,59.43695190862368,8.75,94.45231410718704,8.583333333333334,48.29129090511889,11.166666666666666,19.15796511294165,1.75,64.66107645764122,23.0,51.39053226546003,5.083333333333333,65.86374689893759,10.833333333333334,77.75308021889263,7.333333333333333,71.16004099413358,7.916666666666667,86.23483162404393,9.416666666666666,20.10597060530975,1.4166666666666667,27.786909915663387,2.5,9.340505647785335,0.9166666666666666,18.468779938516857,1.8333333333333333,18.14036468470554,1.5,43.313317760485695,4.166666666666667,0.0,0.0,0.0,0.0,46.6317213925473,8.0,30.237596225157972,4.5,2.5686983305578948,3.75,0.0,0.0,0.0,0.0,0.0,0.0,9.361867641424277,1.1666666666666667,15.054146771108028,1.75,10.035864832527189,5.833333333333333,8.0508709986783,1.25,0.0,0.0,0.0,0.0
230,59.30441868507577,28.5,27.895581257449294,4.833333333333333,60.002296963456025,9.25,117.59377575358509,11.25,58.12363168267992,9.166666666666666,106.16719986442354,9.916666666666666,54.36765358680037,12.416666666666666,23.975512754188046,2.5,51.94232910876232,22.916666666666668,54.56879801559054,5.75,45.71069080227317,10.416666666666666,75.5621553016284,7.666666666666667,58.949195282983005,6.5,51.08209283332949,5.416666666666667,28.14101189663344,2.0833333333333335,27.786909915663387,2.5,9.340505647785335,0.9166666666666666,18.468779938516857,1.8333333333333333,18.14036468470554,1.5,39.88627431842003,3.5833333333333335,0.0,0.0,0.0,0.0,47.88783580570925,8.0,33.411479556481474,5.166666666666667,2.5686784417441983,2.0833333333333335,0.9555084477433354,0.3333333333333333,0.0,0.0,0.0,0.0,9.361867641424277,1.1666666666666667,15.054146771108028,1.75,13.282516073821284,5.833333333333333,8.0508709986783,1.25,0.0,0.0,0.0,0.0
240,54.31042729534025,22.583333333333332,33.79824371743909,5.75,83.04524371253937,11.0,156.30265547083172,14.166666666666666,64.88806226339322,9.666666666666666,113.071513336885,10.416666666666666,79.70339283258461,14.416666666666666,31.10957214151045,3.0833333333333335,64.53161188171413,23.916666666666668,76.48957055755993,7.583333333333333,48.67119429295996,10.833333333333334,87.85198378432813,8.583333333333334,29.51439695749471,3.0833333333333335,38.72778388316161,4.083333333333333,28.14101189663344,2.0833333333333335,27.786909915663387,2.5,9.340505647785335,0.9166666666666666,2.547313599446852,0.25,17.177886589235914,1.4166666666666667,22.708040846840998,2.0,0.0,0.0,13.1358679790125,1.5833333333333333,51.40262108266071,9.25,29.436624774569623,4.083333333333333,8.763790084408916,1.3333333333333333,7.2619603123165035,1.0833333333333333,0.0,0.0,0.0,0.0,9.361867641424277,1.1666666666666667,15.054146771108028,1.75,13.363022591379279,5.833333333333333,8.0508709986783,1.25,0.0,0.0,0.0,0.0
250,57.712136849544066,16.416666666666668,43.83680440366455,7.5,90.92415529731092,11.583333333333334,145.74280310042195,13.083333333333334,80.78793968597942,10.833333333333334,125.66021132542683,11.25,73.52347172796831,13.583333333333334,30.466900223342847,3.0,90.6871344281562,24.916666666666668,91.43034135987789,8.666666666666666,46.36260402804137,10.75,75.49704135022411,7.166666666666667,27.717927156627024,3.0,53.82583953100579,6.0,31.21820625077993,2.3333333333333335,31.604475251465583,3.0833333333333335,0.0,0.0,0.0,0.0,9.463060175926374,0.75,39.4306323007408,3.6666666666666665,7.9499529502192035,0.5833333333333334,14.244109575709395,1.6666666666666667,29.901754080026592,9.916666666666666,21.03696550599643,2.9166666666666665,7.610702948708717,2.5833333333333335,7.2619603123165035,1.0833333333333333,0.0,0.0,0.0,0.0,9.361867641424277,1.1666666666666667,28.371403055445423,3.25,10.968294481515969,5.833333333333333,8.0508709986783,1.25,2.615139345744856,0.25,7.047628004726981,1.0833333333333333
