Time,E1_D,E1_T,E2_D,E2_T,E3_D,E3_T,E4_D,E4_T,E5_D,E5_T,E6_D,E6_T,E7_D,E7_T,off_R1_D,off_R1_T,off_R2_D,off_R2_T,off_R3_D,off_R3_T,off_R4_D,off_R4_T,on_R1_D,on_R1_T,on_R2_D,on_R2_T,on_R3_D,on_R3_T,on_R4_D,on_R4_T,on_R5_D,on_R5_T,on_R6_D,on_R6_T
10,11.74841383664489,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,160.35849984976628,17.5,16.91961637887274,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.884609032438803,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,67.60372957414691,8.5,184.28202984572357,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.735384379000877,2.0,70.7866807063163,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,91.21181833506057,10.5,171.07236063230243,16.0,41.48841159259115,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.59862667472618,20.0,1.9190798289607045,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,222.9696378189524,28.5,172.6739628877709,14.0,118.55035729092239,10.0,5.945722015552235,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.476132690145292,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,268.7016706653469,27.0,349.2515383483253,29.5,124.19700998900046,10.5,77.27207749054145,6.5,41.59028458119303,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.39191064720032,29.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.931290538459031,2.0
70,81.13205233534194,14.0,496.0357703324278,42.0,251.93475312893042,20.5,86.16601504634068,7.0,77.49478285243916,6.5,0.0,0.0,0.0,0.0,29.373781145908858,4.0,0.0,0.0,0.0,0.0,0.0,0.0,46.367672561534405,28.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,86.38900351636903,10.0
80,75.14715335230267,20.0,135.43156707187362,20.5,338.42850856593316,28.5,138.63025189809335,11.0,122.72435130355962,11.5,0.0,0.0,0.0,0.0,254.33034998203055,21.5,0.0,0.0,0.0,0.0,0.0,0.0,100.218601709681,14.5,0.9899852180543647,5.5,0.0,0.0,0.0,0.0,0.0,0.0,10.263088376990027,10.0
90,104.13266991379622,37.0,148.1064044464418,26.5,172.4682187562522,20.0,108.78702247115854,20.0,88.14615272462754,20.0,0.0,0.0,0.0,0.0,54.04950836259937,4.0,0.0,0.0,0.0,0.0,0.0,0.0,52.915391192594484,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.732009689048811,12.0
100,143.59930055819456,55.0,163.8295065152576,38.0,14.054999090513633,20.0,1.3597441433869903,20.0,2.3156076018154863,20.0,0.0,0.0,61.04909390619037,8.5,44.006612636377234,3.5,0.0,0.0,0.0,0.0,0.0,0.0,77.36933278371475,6.5,10.331333055807272,3.0,0.0,0.0,0.0,0.0,0.0,0.0,91.92900454081769,11.5
