Time,E1_D1,E1_T1,E1_D2,E1_T2,E1_D3,E1_T3,E2_D1,E2_T1,E2_D2,E2_T2,E2_D3,E2_T3,E3_D1,E3_T1,E3_D2,E3_T2,E3_D3,E3_T3,E4_D1,E4_T1,E4_D2,E4_T2,E4_D3,E4_T3,E5_D1,E5_T1,E5_D2,E5_T2,E5_D3,E5_T3,E6_D1,E6_T1,E6_D2,E6_T2,E6_D3,E6_T3,E7_D1,E7_T1,E7_D2,E7_T2,E7_D3,E7_T3,off_R1_D1,off_R1_T1,off_R1_D2,off_R1_T2,off_R1_D3,off_R1_T3,off_R2_D1,off_R2_T1,off_R2_D2,off_R2_T2,off_R2_D3,off_R2_T3,off_R3_D1,off_R3_T1,off_R3_D2,off_R3_T2,off_R3_D3,off_R3_T3,off_R4_D1,off_R4_T1,off_R4_D2,off_R4_T2,off_R4_D3,off_R4_T3,on_R1_D1,on_R1_T1,on_R1_D2,on_R1_T2,on_R1_D3,on_R1_T3,on_R2_D1,on_R2_T1,on_R2_D2,on_R2_T2,on_R2_D3,on_R2_T3,on_R3_D1,on_R3_T1,on_R3_D2,on_R3_T2,on_R3_D3,on_R3_T3,on_R4_D1,on_R4_T1,on_R4_D2,on_R4_T2,on_R4_D3,on_R4_T3,on_R5_D1,on_R5_T1,on_R5_D2,on_R5_T2,on_R5_D3,on_R5_T3,on_R6_D1,on_R6_T1,on_R6_D2,on_R6_T2,on_R6_D3,on_R6_T3
55,113.72486645026623,9.5,57.884562698857714,6.5,0,0,6.127509325091495,0.5,56.144100627014325,4.5,49.991168410941114,4.0,0.0,0.0,29.282277213366967,2.5,28.743586360782444,2.5,41.60990411972378,3.5,17.84464004240172,1.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034950345268512706,10.0,18.833068034503626,4.0,0,0,0.0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
60,69.86408785030659,6.0,27.228153665916267,5.0,0,0,54.089078823318374,4.5,76.02023110648176,6.0,106.87945005547819,10.0,30.48944871638085,2.5,29.750637420932748,2.5,5.931060277537455,0.5,17.817533328415948,1.5,0.0,0.0,0,0,0.0,0.0,41.59028458119303,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.457203595573375,12.5,23.0666886718548,2.5,0,0,0.0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,5.931290538459031,2.0,0,0
65,29.097524211464954,3.5,14.387777213807642,1.5,0,0,83.29209937060101,6.5,127.79434345852633,10.5,72.46892613406769,7.5,30.765225110814868,2.5,29.315535770850744,2.5,35.628300930580394,3.0,6.167580141922798,0.5,24.682064638631488,2.0,0,0,41.65455107817064,3.5,17.846787862584563,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.197463613343295,15.0,0.0,0.0,0,0,0.0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.386645535474951,0.5,38.39289010767307,4.5,0,0
70,20.05714344608289,5.0,17.589607463986432,4.0,0,0,124.44913839449006,10.0,88.03126297474276,7.5,0.0,0.0,31.65753172524481,2.5,66.68137524232927,5.5,57.88678434911034,4.5,55.31637026578639,4.5,0.0,0.0,0,0,11.902179670468513,1.0,6.091264241215441,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.373781145908858,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0075897036021,11.0,5.162619244589017,2.0,0,0,0.0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,42.60946787322103,5.0,0.0,0.0,0,0
75,26.470804771085824,7.5,22.79977963717335,2.5,0,0,81.74967138279239,8.5,0.0,0.0,5.681367179496533,2.0,71.70536059797487,5.5,78.39021754805444,6.0,19.245163818365228,1.5,19.869413083806762,1.5,26.993583437959558,2.0,0,0,6.0920622250715155,0.5,54.77155967760365,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.62404336835938,1.5,98.1197198166953,9.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.570972314667948,4.5,24.068871561430825,5.0,0,0,0.0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.203336933621841,5.0,0.0,0.0,0,0
80,25.8765689440435,10.0,0.0,0.0,0,0,4.485017956548347,5.0,16.30959458103586,1.5,27.205915972000483,3.5,77.4072969631936,6.0,58.07837797369969,4.5,33.60209166464555,5.0,50.17363846343187,4.0,41.59361691289516,3.5,0,0,43.45010492940196,5.0,18.410624471482492,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.24007209580739,6.0,59.34651470116856,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.18662868092102,3.5,14.39212915266122,1.5,0,0,0.9899852180543647,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0597514433681852,5.0,0.0,0.0,0,0
85,2.936912436149967,10.0,3.8073248042440193,2.0,0,0,16.920028911423863,6.5,40.94861689039725,3.5,9.76190765222163,1.5,44.34800223434368,4.5,60.3878895766769,5.0,5.312991902008335,0.5,82.50829496991935,9.5,5.896795047370631,0.5,0,0,22.137870872338908,6.5,39.72776393511549,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.04950836259937,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.057893497273902,3.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5.0,0.0,0.0,0,0
90,0.10497423269045214,10.0,97.28345844071178,15.0,0,0,34.342282190318315,10.0,16.779214852677384,1.5,29.35435394940336,3.5,56.3304311464194,9.5,6.0889038968038705,0.5,0.0,0.0,20.381932453868558,10.0,0.0,0.0,0,0,26.280517917173142,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.85749769532057,5.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5.0,5.732009689048811,2.0,0,0
95,80.24271942535452,22.5,22.568965158192814,2.5,0,0,10.745427918459868,10.5,53.561503826185614,4.5,11.568015862231313,3.0,12.91900048333602,10.0,0.0,0.0,0.0,0.0,1.347868033179111,10.0,0.0,0.0,0,0,2.192333979399905,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4762832506269916,0.5,13.695493259989995,3.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32905678511744,3.5,16.26505378593577,1.5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.913853320257061,2.0,36.21177154302251,4.5,0,0
100,16.140413368205536,25.0,24.647202606441667,5.0,0,0,37.11063927162141,15.0,38.626453243094105,3.5,12.21746639366526,1.5,1.135998607177612,10.0,0.0,0.0,0.0,0.0,0.011876110207879265,10.0,0.0,0.0,0,0,0.12327362241558149,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.877317395573385,5.0,0.0,0.0,0.0,0.0,44.006612636377234,3.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.775222212661554,1.5,0.0,0.0,0,0,0.0,0.0,10.331333055807272,3.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,49.80337967753811,5.0,0.0,0.0,0,0
